#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
NGC_1316                 2022    03:22:43.13    -37:21:55.6  567.000  120.1   83.7   61.8      11.50       2.10        F   0.0059     na     na
NGC_1316                 2022    03:22:43.37    -37:09:17.2  193.000  126.3   75.7   49.7      35.70       3.70        F   0.0059     na     na
NGC_1316                 2022    03:22:44.16    -37:19:18.3  411.000   52.0   32.1    0.0       6.40       0.60        F   0.0059     na     na
NGC_1316                 2022     03:23:0.05    -36:55:56.1 1017.000  116.0   56.3    0.0       3.00       0.60        F   0.0059     na     na
NGC_1316                 2022     03:23:5.02     -37:01:1.8  742.000  124.3   87.8  -23.6      10.00       2.10        F   0.0059     na     na
NGC_1316                 2022     03:23:5.11    -37:22:47.2  679.000   53.4   54.1   42.3       8.20       1.30        F   0.0059     na     na
NGC_1316                 2022     03:23:6.03    -37:30:27.7 1117.000   90.6   61.2    0.0       2.30       0.50        F   0.0059     na     na
NGC_1316                 2022    03:23:10.64    -37:07:53.3  442.000   90.5   55.3    0.0       2.90       0.60        F   0.0059     na     na
NGC_1316                 2022    03:23:12.58    -37:08:39.5  435.000   94.8   59.3    0.0       2.50       0.60        F   0.0059     na     na
NGC_1316                 2022    03:23:13.28    -37:12:28.2  377.000  126.0   65.6   58.2      12.20       2.10        F   0.0059     na     na
NGC_1316                 2022    03:23:14.14    -37:15:25.6  426.000   97.3   27.6   -8.2      23.60       1.80        F   0.0059     na     na
NGC_1316                 2022    03:23:16.34    -37:06:31.0  547.000  229.0   50.0    0.0       3.60       0.70        F   0.0059     na     na
NGC_1316                 2022    03:23:19.31    -37:29:14.8 1102.000   86.4   95.4   86.1       9.40       1.80        F   0.0059     na     na
NGC_1316                 2022    03:23:19.61    -37:10:58.6  462.000   15.8   14.5   17.2      65.20       2.40        F   0.0059     na     na
NGC_1316                 2022    03:23:24.88    -37:04:15.5  714.000   56.3   49.2    0.0       3.10       0.50        F   0.0059     na     na
