#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
ABELL_2163                 16:15:45.705       -06:09:00.62   0.1695    19.20   437.31   437.98   4.93e+45  -1.00e+00     UK   2.19e+40     NF     N     N     N    NONE
ABELL_2199                 16:28:38.249       +39:33:04.28   0.0300     4.55     7.55    13.27   8.10e+43   1.42e+40      F   8.32e+41      F     Y     Y     Y       Y
ABELL_2204                 16:32:46.920       +05:34:32.86   0.1524     6.97     9.74     9.74   2.20e+45  -1.00e+00     UK   4.80e+41      F     Y     Y     Y       Y
ABELL_2204                 16:32:46.911       +05:34:32.70   0.1524     6.97     9.74     9.74   2.20e+45  -1.00e+00     UK   4.80e+41      F     Y     Y     Y       Y
ABELL_2204                 16:32:46.923       +05:34:32.87   0.1524     6.97     9.74     9.74   2.20e+45  -1.00e+00     UK   4.80e+41      F     Y     Y     Y       Y
ABELL_2218                 16:35:50.831       +66:12:42.31   0.1713     7.35   288.56   288.56   8.46e+44   3.52e+40     NF   2.24e+40     NF     Y     Y     Y       Y
ABELL_2219                 16:40:20.112       +46:42:42.84   0.2256    12.75   411.57   411.57   3.83e+45   6.37e+40     NF   4.15e+40     NF     Y     Y     Y       Y
ABELL_2244                 17:02:42.579       +34:03:37.34   0.0967     5.68    57.58    57.58   5.54e+44   1.05e+40     NF   8.03e+39      F     N     N     N    NONE
ABELL_2255                 17:12:42.935       +64:04:10.81   0.0805     6.12   529.10   529.10   3.70e+44   7.15e+39     NF   4.39e+39     NF     N     Y     N       Y
ABELL_2256                 17:03:44.567       +78:38:11.51   0.0579     6.90   349.58   349.58   2.57e+45  -1.00e+00     UK   2.20e+39     NF     N     N     N    NONE
ABELL_2259                 17:20:08.299       +27:40:11.53   0.1640     5.18   113.98   113.98   5.43e+44   3.20e+40     NF   2.04e+40     NF     ?     ?     ?       ?
ABELL_2261                 17:22:27.254       +32:07:58.60   0.2240     7.63    60.54    61.08   1.76e+45   6.28e+40     NF   4.67e+40     NF     Y     Y     Y       Y
ABELL_2294                 17:24:10.149       +85:53:09.77   0.1780     9.98   128.53   156.31   1.04e+45  -1.00e+00     UK   2.44e+40     NF     ?     ?     ?       ?
ABELL_2319                 19:21:09.638       +43:57:21.53   0.0562    10.87   270.23   270.23   1.27e+45   6.45e+40     NF   2.06e+39     NF     N     N     N    NONE
ABELL_2384                 21:52:21.178       -19:32:51.90   0.0945     4.75    17.94    38.48   1.98e+44  -1.00e+00     UK   6.16e+39     NF     N     N     N    NONE
ABELL_2390                 21:53:36.825       +17:41:44.38   0.2301    11.15    14.73    14.73   3.56e+45   6.63e+41      F   4.09e+42      F     Y     Y     Y       Y
ABELL_2409                 22:00:52.567       +20:58:06.55   0.1479     5.94    69.55    73.81   7.08e+44   2.57e+40     NF   1.62e+40     NF     N     Y     N       Y
ABELL_2420                 22:10:18.792       -12:10:13.35   0.0846     6.47   332.56   332.56   4.37e+44  -1.00e+00     UK   4.84e+39     NF     ?     ?     ?       ?
ABELL_2462                 22:39:11.367       -17:20:28.33   0.0737     2.42   129.68   129.68   2.80e+43  -1.00e+00     UK   2.89e+39     NF     ?     ?     ?       ?
ABELL_2537                 23:08:22.313       -02:11:29.88   0.2950     8.40   106.74   110.41   1.02e+45  -1.00e+00     UK   7.68e+40     NF     N     Y     N       Y
ABELL_2554                 23:12:19.622       -21:30:11.32   0.1103     5.29   105.09   105.09   1.66e+44  -1.00e+00     UK   6.81e+39     NF     ?     ?     ?       ?
ABELL_2556                 23:13:01.413       -21:38:04.47   0.0862     3.50    10.60    12.38   1.53e+44  -1.00e+00     UK   5.07e+39     NF     N     N     N    NONE
ABELL_2589                 23:23:57.315       +16:46:38.43   0.0415     3.65    51.99    51.99   3.30e+43   1.83e+39     NF   8.73e+38     NF     ?     ?     ?       ?
ABELL_2597                 23:25:19.779       -12:07:27.63   0.0854     4.02     9.57    10.60   1.47e+44   5.38e+41      F   3.73e+42      F     Y     Y     Y       Y
ABELL_2626                 23:36:30.452       +21:08:47.36   0.0573     3.29    23.19    23.19   6.60e+43   5.96e+39      F   4.68e+40      F     Y     Y     N       Y
ABELL_2631                 23:37:38.560       +00:16:05.02   0.2779     7.06   308.81   308.81   1.27e+45   1.01e+41     NF   6.69e+40     NF     N     Y     N       Y
ABELL_2657                 23:44:57.253       +09:11:30.74   0.0402     3.77    65.39    65.39   4.27e+44   1.71e+39     NF   7.52e+38     NF     ?     ?     ?       ?
ABELL_2667                 23:51:39.395       -26:05:02.75   0.2300     6.75    12.25    19.31   2.01e+45  -1.00e+00     UK   3.37e+41      F     Y     Y     Y       Y
ABELL_2717                 00:03:12.968       -35:56:00.13   0.0475     1.69    26.31    27.05   2.60e+43  -1.00e+00     UK   1.02e+39     NF     N     N     N    NONE
ABELL_2744                 00:14:19.529       -30:23:30.24   0.3080     9.18   295.14   438.44   2.92e+45  -1.00e+00     UK   8.49e+40     NF     Y     Y     N       Y
ABELL_2744                 00:14:19.538       -30:23:30.30   0.3080     9.61   295.14   438.44   8.91e+45  -1.00e+00     UK   8.49e+40     NF     Y     Y     N       Y
ABELL_2744                 00:14:19.530       -30:23:30.13   0.3080     9.61   295.14   438.44   8.91e+45  -1.00e+00     UK   8.49e+40     NF     Y     Y     N       Y
