#Name                             RA             Dec        z       TX       K0    K0err     K100  K100err    alpha     aerr         LX        LHa   Type       LRad   Type
#--                            h:m:s           d:m:s       --      keV     \ent     \ent     \ent     \ent       --       --     ergs/s     ergs/s     --     ergs/s     --
ABELL_2667              23:51:39.395    -26:05:02.75   0.2300     6.75    19.31     3.39    93.44     7.57     1.31     0.17   2.01e+45  -1.00e+00     UK   3.37e+41      F
ABELL_2717              00:03:12.968    -35:56:00.13   0.0475     1.69    27.05     8.37   151.19    10.18     0.75     0.13   2.60e+43  -1.00e+00     UK   1.02e+39     NF
ABELL_2744              00:14:19.529    -30:23:30.24   0.3080     9.18   438.44    58.71    46.39    43.98     1.41     0.55   2.92e+45  -1.00e+00     UK   8.49e+40     NF
ABELL_2813              00:43:24.881    -20:37:25.08   0.2924     8.39   267.63    43.82    90.43    67.30     1.76     0.80  -1.00e+00  -1.00e+00     UK   5.97e+40     NF
ABELL_3084              03:04:03.920    -36:56:27.17   0.0977     4.56    96.74    13.42   193.67    22.82     1.08     0.17  -1.00e+00  -1.00e+00     UK   5.25e+39     NF
ABELL_3088              03:07:01.734    -28:39:55.47   0.2534     6.71    82.78     8.42   216.83    25.78     1.71     0.25   3.89e+45  -1.00e+00     UK   4.29e+40     NF
ABELL_3112              03:17:57.681    -44:14:17.16   0.0720     5.17    11.40     1.43   169.12     6.99     1.17     0.07   3.28e+44   3.36e+40      F   1.19e+42      F
ABELL_3120              03:21:56.464    -51:19:35.40   0.0690     4.39    17.29     3.50   206.17    10.86     0.99     0.08  -1.00e+00  -1.00e+00     UK   2.71e+40      F
ABELL_3158              03:42:54.675    -53:37:24.36   0.0580     4.94   166.01    11.74    80.92    12.95     0.90     0.10   3.45e+44   2.89e+38     NF   2.37e+39     NF
ABELL_3266              04:31:13.304    -61:27:12.59   0.0590     9.07    72.45    49.71   376.73    48.04     0.64     0.28   2.77e+44   2.25e+38     NF   2.46e+39     NF
ABELL_3364              05:47:37.698    -31:52:23.61   0.1483     6.59   268.55    33.21    34.53    18.02     1.97     0.32  -1.00e+00  -1.00e+00     UK   7.87e+40      F
ABELL_3376              06:02:11.756    -39:56:59.07   0.0456     4.48   282.95     9.34    58.97    10.60     1.71     0.18   7.56e+43  -1.00e+00     UK   1.34e+39     NF
ABELL_3391              06:26:21.511    -53:41:44.81   0.0560     6.07   367.52    16.02    23.56    14.83     1.64     0.47   1.44e+44  -1.00e+00     UK   2.21e+39     NF
ABELL_3395              06:26:48.463    -54:32:59.21   0.0510     5.13   247.20    25.21   105.85    29.83     1.65     1.01   5.75e+44  -1.00e+00     UK   1.82e+39     NF
ABELL_3528S             12:54:40.897    -29:13:38.10   0.0530     4.94    31.56     2.26   270.04    10.25     1.17     0.06  -1.00e+00  -1.00e+00     UK   6.10e+41      F
ABELL_3558              13:27:56.854    -31:29:43.78   0.0480     6.60   126.15    11.82   132.52    17.17     2.11     0.58   1.63e+44   1.74e+39     NF   2.38e+39      F
ABELL_3562              13:33:37.800    -31:40:12.04   0.0490     4.59    77.42     8.94   159.76    10.37     0.81     0.13   1.11e+44   2.66e+39     NF   1.55e+39     NF
ABELL_3571              13:47:28.434    -32:51:52.45   0.0391     7.77    79.31    14.79   191.27    14.82     0.82     0.16   1.25e+44   1.14e+39     NF   9.74e+38     NF
ABELL_3581              14:07:29.777    -27:01:05.88   0.0218     2.10     9.51     0.78   138.07     5.71     1.22     0.05   1.23e+44   2.13e+41      F   6.04e+40      F
ABELL_3667              20:12:41.231    -56:50:35.70   0.0556     6.51   160.43    15.50   110.56    16.77     0.78     0.10   4.25e+44   1.99e+39     NF   2.26e+39     NF
ABELL_3822              21:54:04.203    -57:52:02.71   0.0759     5.45   108.66    76.42   200.32    90.81     0.66     0.33  -1.00e+00  -1.00e+00     UK   4.17e+39     NF
ABELL_3827              22:01:53.200    -59:56:43.04   0.0984     8.05   164.58    12.48    94.80    13.69     1.34     0.10  -1.00e+00  -1.00e+00     UK   7.24e+39     NF
ABELL_3921              22:49:57.829    -64:25:42.17   0.0927     5.69   101.19    17.88   151.49    23.00     0.86     0.11   3.37e+44  -1.00e+00     UK   6.37e+39     NF
ABELL_4038              23:47:43.180    -28:08:34.81   0.0300     3.11    37.93     1.21   117.86     2.74     1.11     0.05   8.21e+43  -1.00e+00     UK   6.22e+39      F
ABELL_4059              23:57:01.065    -34:45:33.28   0.0475     4.69     7.06     1.05   203.16     2.36     0.88     0.02   6.76e+44   1.18e+40      F   1.59e+42      F
ABELL_S0405             03:51:32.815    -82:13:10.19   0.0613     4.63    16.94    27.86   274.22    27.35     0.45     0.10  -1.00e+00  -1.00e+00     UK   1.27e+40      F
ABELL_S0592             06:38:48.610    -53:58:26.32   0.2216     8.24    58.70    14.37   195.48    23.59     0.99     0.13  -1.00e+00  -1.00e+00     UK   4.30e+40     NF
AC_114                  22:58:48.316    -34:48:08.20   0.3120     7.53   199.79    27.96    69.99    32.56     1.50     0.36   1.10e+45  -1.00e+00     UK   6.94e+40     NF
AWM7                    02:54:27.631    +41:34:47.07   0.0172     3.71     8.37     1.28   227.59    23.10     0.80     0.06   4.07e+44  -1.00e+00     UK   1.82e+38     NF
CENTAURUS               12:48:49.267    -41:18:39.54   0.0109     3.96     2.25     0.04   474.86     6.27     1.33     0.01   1.74e+44   1.50e+40      F   7.38e+40      F
CID_0072                17:33:03.247    +43:45:37.28   0.0344     2.88     9.45     0.32   133.25     2.19     0.99     0.02  -1.00e+00   1.06e+39      F   3.58e+39      F
CL_J1226.9+3332         12:26:58.373    +33:32:47.36   0.8900    11.81   166.03    45.21    99.00    58.74     1.41     0.50   3.10e+45  -1.00e+00     UK   1.90e+42      F
CYGNUS_A                19:59:28.381    +40:44:01.98   0.0561     7.68    23.64     0.87   210.12     6.94     1.57     0.05   2.18e+44   2.13e+41      F   6.37e+44      F
ESO_3060170             05:40:06.687    -40:50:12.82   0.0358     2.71     7.98     1.00  1400.88   578.91     1.80     0.21   2.38e+43  -1.00e+00     UK   2.93e+39      F
ESO_5520200             04:54:52.318    -18:06:56.52   0.0314     2.37     5.89     4.18   121.77     6.48     0.67     0.09   9.00e+42  -1.00e+00     UK   6.21e+38     NF
EXO_0422-086            04:25:51.271    -08:33:36.42   0.0397     3.40    13.77     0.79   193.82    11.84     1.25     0.06   7.38e+43   1.14e+38     NF   4.52e+40      F
HCG_0062                12:53:05.741    -09:12:15.64   0.0146     1.10     3.44     0.07   219.02    11.35     1.28     0.03   8.13e+42   3.82e+38      F   2.03e+38      F
HCG_42                  10:00:14.234    -19:38:10.77   0.0133     0.70     1.85     0.33   126.46    12.65     0.87     0.05   1.78e+42  -1.00e+00     UK   8.60e+37      F
HERCULES_A              16:51:08.161    +04:59:32.44   0.1541     5.21     9.17     1.34   143.89     3.33     1.07     0.04   3.48e+44   1.30e+40      F   5.52e+44      F
HYDRA_A                 09:18:05.985    -12:05:43.94   0.0549     4.00    13.31     0.66   114.92     1.43     1.03     0.02   2.63e+44   9.61e+40      F   2.89e+43      F
M49                     12:29:46.841    +08:00:01.98   0.0033     1.33     0.91     0.05   495.33    32.93     1.14     0.02  -1.00e+00  -1.00e+00     UK   4.58e+38      F
M87                     12:30:49.383    +12:23:28.67   0.0044     2.50     3.53     0.08   146.60     0.99     0.80     0.00  -1.00e+00   1.03e+39      F   4.70e+41      F
MACS_J0011.7-1523       00:11:42.965    -15:23:20.79   0.3600     6.64    18.83     6.33   109.14    11.55     1.04     0.10   1.10e+45  -1.00e+00     UK   1.52e+42      F
MACS_J0035.4-2015       00:35:26.573    -20:15:46.06   0.3644     7.39    93.42    15.70    76.40    20.79     1.26     0.17   1.98e+45  -1.00e+00     UK   1.26e+41     NF
MACS_J0159.8-0849       01:59:49.453    -08:50:00.90   0.4050     9.16    18.79     3.75   123.87     9.91     1.31     0.09   2.65e+45  -1.00e+00     UK   2.37e+42      F
MACS_J0242.5-2132       02:42:35.906    -21:32:26.30   0.3140     5.58    10.92     1.90    74.59     5.05     1.29     0.07   1.29e+45  -1.00e+00     UK   4.45e+43      F
MACS_J0257.1-2325       02:57:09.130    -23:26:05.85   0.5053     9.25   234.47    68.17   195.81   107.26     1.39     0.57   2.19e+45  -1.00e+00     UK   2.75e+41     NF
