# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
EXO_0422-086                4183   2.04   4.10  6.22  0.00  0.00  3.44  3.23  3.67  0.30  0.30  0.30   6.17e-03   6.03e-03   6.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  0.681   1.06    167
HERCULES_A                  1625   0.54   2.32  6.27  0.00  0.00  4.13  3.86  4.43  0.45  0.45  0.45   3.76e-03   3.68e-03   3.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1541  0.589   1.24    164
IRAS_09104+4109              509   0.21   2.69  1.36  0.00  0.00 79.90 77.94 79.90  0.30  0.30  0.30   9.46e-03   9.18e-03   9.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  1.199   6.23    164
MS_0016.9+1609               520   0.17   2.70  4.06  0.00  0.00  7.55  7.10  8.05  0.30  0.30  0.30   3.59e-03   3.53e-03   3.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.248   1.11    296
MS_0302.7+1658               525   0.21   2.02 10.95  0.00  0.00  3.01  2.36  4.02  0.30  0.30  0.30   7.45e-04   6.56e-04   8.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.043   0.80     21
MS_0440.5+0204              4196   0.44   3.02  9.10  0.00  0.00 79.90 75.53 79.90  0.30  0.30  0.30   4.44e-03   4.29e-03   4.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.491   2.99    142
MS_0451.6-0305               902   0.17   2.53  5.68  0.00  0.00  7.73  7.10  8.46  0.28  0.28  0.28   3.66e-03   3.60e-03   3.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5386  0.360   1.09    245
MS_0735.6+7421              4197   0.39   2.81  3.40  0.00  0.00  4.93  4.73  5.15  0.37  0.37  0.37   4.57e-03   4.52e-03   4.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2160  0.630   1.18    309
MS_0839.8+2938              2224   0.43   3.07  3.92  0.00  0.00  5.26  4.81  5.77  0.59  0.59  0.59   2.26e-03   2.21e-03   2.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1940  0.368   0.98    211
MS_1006.0+1202               925   0.39   4.10  3.63  0.00  0.00 24.46 19.81 29.10  0.37  0.37  0.37   4.30e-03   4.17e-03   4.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2210  0.414   2.02    237
MS_1008.1-1224               926   0.29   3.96  6.71  0.00  0.00 20.49 17.49 25.71  0.72  0.72  0.72   3.61e-03   3.53e-03   3.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3010  0.336   3.12    254
MS_1054.5-0321               512   0.12   2.20  3.69  0.00  0.00 13.26 10.87 16.44  0.07  0.07  0.07   1.51e-03   1.47e-03   1.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8300  0.124   1.33    219
MS_1137.5+6625               536   0.12   1.59  1.18  0.00  0.00 79.87 60.16 79.90  0.30  0.30  0.30   9.70e-04   9.20e-04   9.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.054   2.12    155
MS_1455.0+2232              4192   0.33   3.54  3.35  0.00  0.00  4.58  4.43  4.74  0.35  0.35  0.35   4.45e-03   4.41e-03   4.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.363   1.46    380
MS_1621.5+2640               546   0.21   2.92  3.59  0.00  0.00  6.74  5.80  7.98  0.30  0.30  0.30   1.54e-03   1.49e-03   1.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.128   1.06    163
MS_2053.7-0449              1667   0.16   2.55  5.16  0.00  0.00  3.61  2.77  4.79  0.31  0.31  0.31   4.28e-04   3.74e-04   4.77e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.021   1.07     82
MS_2137.3-2353               928   0.28   2.62  3.40  0.00  0.00  5.60  5.23  6.02  0.53  0.53  0.53   2.92e-03   2.87e-03   2.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3130  0.445   1.19    231
OPHIUCHUS                   3200   2.89   3.00 19.84  0.00  0.00 35.42 30.87 40.49  0.30  0.30  0.30   6.37e-03   6.21e-03   6.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.753   2.94    363
PKS_0745-191                 508   0.80   2.98 40.82  0.00  0.00 79.90 78.25 79.90  0.30  0.30  0.30   6.93e-02   6.86e-02   7.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  5.718   3.82    388
PKS_0745-191                6103   0.80   4.10 40.80  0.00  0.00  9.30  8.79  9.87  0.30  0.30  0.30   3.34e-02   3.30e-02   3.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  2.659   1.05    361
RBS_0797                    2202   0.25   4.10  2.22  0.00  0.00  7.91  6.97  9.08  0.30  0.30  0.30   4.84e-03   4.71e-03   4.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.431   1.13    166
