# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_1795                  5289   0.69   6.23  1.22  0.00  0.00  6.05  5.90  6.20  0.33  0.28  0.37   4.76e-02   4.71e-02   4.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  5.804   93.2   1.19    406
ABELL_1835                   495   0.02   1.87  2.36  0.00  0.00  9.55  9.04 10.10  0.35  0.27  0.42   1.20e-02   1.18e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  1.754   91.3   0.91    313
ABELL_1914                  3593   0.02   2.83  0.97  0.00  0.00  9.73  9.22 10.31  0.32  0.25  0.40   1.66e-02   1.63e-02   1.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  1.807   95.3   1.11    345
ABELL_1942                  3290   0.23   1.68  2.75  0.00  0.00  4.96  4.57  5.41  0.37  0.23  0.52   1.09e-03   1.05e-03   1.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.106   77.9   1.04    156
ABELL_1995                   906   0.26   0.97  1.44  0.00  0.00  8.50  7.79  9.33  0.33  0.21  0.45   1.85e-03   1.80e-03   1.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.253   81.0   1.05    189
ABELL_2029                  6101   0.80   5.20  3.26  0.00  0.00  8.22  7.92  8.53  0.40  0.34  0.46   5.11e-02   5.05e-02   5.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  6.275   94.9   1.08    393
ABELL_2034                  2204   0.03   3.47  1.58  0.00  0.00  7.35  7.11  7.61  0.34  0.29  0.39   9.79e-03   9.67e-03   9.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.199   90.3   1.17    400
ABELL_2065                 31821   0.88   4.63  2.96  0.00  0.00  5.75  5.58  5.94  0.28  0.23  0.33   1.47e-02   1.45e-02   1.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  1.796   89.7   1.11    369
ABELL_2069                  4965   0.39   3.50  1.97  0.00  0.00  6.33  6.01  6.69  0.24  0.16  0.32   5.01e-03   4.91e-03   5.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.534   78.0   1.14    344
ABELL_2111                   544   0.02   2.06  2.20  0.00  0.00  5.74  4.77  7.17  0.16  0.00  0.46   1.60e-03   1.48e-03   1.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.161   74.3   1.06     60
ABELL_2125                  2207   0.02   1.13  2.75  0.00  0.00  3.09  2.78  3.46  0.36  0.16  0.61   3.55e-04   3.20e-04   4.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.031   68.5   1.25     87
ABELL_2163                  1653   0.29   3.21 12.04  0.00  0.00 18.78 17.95 19.67  0.09  0.04  0.15   2.26e-02   2.23e-02   2.28e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.062   93.7   1.33    428
ABELL_2204                   6104+499   0.02   3.02  5.84  0.00  0.00  9.35  8.94  9.78  0.37  0.30  0.44   1.94e-02   1.91e-02   1.97e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  2.143   86.4   0.95    606
ABELL_2218                  1666   0.29   2.37  3.12  0.00  0.00  7.37  7.00  7.77  0.22  0.16  0.29   6.11e-03   6.01e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.657   91.8   1.00    326
ABELL_2219                   896   0.02   2.31  1.76  0.00  0.00 12.60 11.99 13.25  0.31  0.24  0.38   1.21e-02   1.19e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  1.796   81.1   1.02    383
ABELL_2255                   894   0.05   4.45  2.53  0.00  0.00  6.37  6.14  6.61  0.34  0.27  0.40   9.86e-03   9.69e-03   1.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  1.244   81.4   0.93    393
ABELL_2256                  1386   1.08   6.56  4.05  0.00  0.00  5.66  5.49  5.85  0.31  0.24  0.38   3.76e-02   3.70e-02   3.83e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  5.040   79.6   1.61    391
ABELL_2259                  3245   0.02   2.11  3.70  0.00  0.00  5.07  4.67  5.53  0.40  0.26  0.56   4.91e-03   4.68e-03   5.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.520   90.9   0.92    144
ABELL_2261                  5007   0.02   2.04  3.31  0.00  0.00  7.86  7.39  8.37  0.40  0.31  0.49   7.43e-03   7.28e-03   7.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.746   94.1   0.98    278
ABELL_2294                  3246   0.28   2.36  6.10  0.00  0.00 10.49  9.19 12.24  0.57  0.33  0.82   5.38e-03   5.14e-03   5.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.591   88.6   1.16    162
ABELL_2384                  4202   0.04   2.96  2.99  0.00  0.00  4.53  4.32  4.75  0.15  0.09  0.22   5.16e-03   5.02e-03   5.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.567   86.9   0.99    259
ABELL_2390                  4193   0.02   2.20  6.71  0.00  0.00 10.85 10.54 11.19  0.35  0.31  0.40   1.24e-02   1.23e-02   1.25e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  1.600   81.3   1.15    418
ABELL_2409                  3247   0.02   2.42  6.72  0.00  0.00  5.93  5.54  6.38  0.35  0.24  0.48   7.84e-03   7.57e-03   8.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.814   92.7   1.05    180
ABELL_2537                  4962   0.02   1.49  4.26  0.00  0.00  8.83  8.09  9.70  0.39  0.25  0.53   2.44e-03   2.37e-03   2.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.305   59.8   0.93    207
ABELL_2554                  1696   0.42   3.36  2.04  0.00  0.00  5.35  4.95  5.80  0.35  0.22  0.50   3.54e-03   3.41e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.578   40.6   0.93    223
ABELL_2556                  2226   0.52   3.35  2.02  0.00  0.00  3.57  3.42  3.73  0.36  0.29  0.43   6.44e-03   6.24e-03   6.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  1.055   58.1   0.99    250
ABELL_2631                  3248   0.29   1.83  3.74  0.00  0.00  7.18  6.24  8.36  0.34  0.15  0.54   3.57e-03   3.40e-03   3.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.334   89.0   1.03     99
ABELL_2667                  2214   0.02   1.82  1.64  0.00  0.00  6.68  6.25  7.16  0.41  0.29  0.53   8.39e-03   8.16e-03   8.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  1.234   84.9   1.05    187
ABELL_2670                  4959   0.57   3.68  2.88  0.00  0.00  3.96  3.83  4.09  0.45  0.38  0.53   6.19e-03   6.03e-03   6.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.746   80.5   1.16    320
ABELL_2717                  6974   1.30   3.87  1.12  0.00  0.00  2.59  2.43  2.76  0.53  0.41  0.67   3.02e-03   2.83e-03   3.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.384   67.0   0.90    186
ABELL_2744                  2212   0.02   1.82  1.82  0.00  0.00  9.82  9.05 10.71  0.30  0.18  0.42   5.03e-03   4.91e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.636   74.7   0.88    230
ABELL_3128                   893   1.01   4.41  1.59  0.00  0.00  3.04  2.83  3.27  0.33  0.23  0.46   3.26e-03   3.08e-03   3.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.397   64.8   1.05    186
ABELL_3158                  3201+3712   0.11   5.57  1.60  0.00  0.00  5.08  5.00  5.16  0.40  0.37  0.43   2.33e-02   2.31e-02   2.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0586  2.937   89.3   1.15    811
ABELL_3164                  6955   1.10   4.81  2.55  0.00  0.00  2.40  1.92  3.05  0.23  0.04  0.55   1.22e-03   1.01e-03   1.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0570  0.136   30.5   1.29     91
ABELL_3376                  3202+3450   0.13   6.36  5.21  0.00  0.00  4.44  4.31  4.58  0.36  0.30  0.42   7.42e-03   7.27e-03   7.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0456  0.894   65.9   1.18    721
ABELL_3391                  4943   1.12   6.36  5.46  0.00  0.00  5.72  5.44  6.03  0.11  0.04  0.19   1.34e-02   1.31e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0560  1.531   67.9   1.00    352
ABELL_3921                  4973   0.71   3.80  3.07  0.00  0.00  5.69  5.45  5.94  0.34  0.27  0.42   8.26e-03   8.09e-03   8.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0927  0.966   84.2   0.93    328
AC_114                      1562   0.02   1.54  1.44  0.00  0.00  7.75  7.25  8.31  0.36  0.26  0.47   2.01e-03   1.97e-03   2.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.267   63.0   1.01    262
CL_0024+17                   929   0.16   1.10  4.36  0.00  0.00  4.75  3.99  5.82  0.58  0.28  0.93   4.53e-04   4.10e-04   5.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.055   44.2   1.07     70
CL_1221+4918                1662   0.01   1.00  1.44  0.00  0.00  6.73  5.71  8.02  0.32  0.13  0.52   4.96e-04   4.63e-04   5.27e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.029   73.2   0.92     74
CL_J0030+2618               5762   0.01   1.45  4.10  0.00  0.00  4.48  3.08  6.91  0.00  0.00  0.37   5.45e-04   4.63e-04   6.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.029   51.5   1.01     18
CL_J0152-1357                913   0.01   0.58  1.45  0.00  0.00  7.20  4.72 14.34  0.00  0.00  0.63   1.42e-04   1.20e-04   1.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.007   49.3  32.71     11
CL_J0542.8-4100              914   0.01   1.00  3.59  0.00  0.00  5.65  4.75  6.86  0.25  0.03  0.49   5.17e-04   4.77e-04   5.54e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.033   72.7   0.67     60
CL_J0848+4456                1708+927   0.01   0.55  2.53  0.00  0.00  3.73  2.88  5.20  0.17  0.00  1.15   6.69e-05   5.74e-05   8.07e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.004   64.9   0.87     25
CL_J1113.1-2615              915   0.01   0.98  5.51  0.00  0.00  4.74  3.76  6.26  0.53  0.16  1.05   1.86e-04   1.61e-04   2.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.010   32.2  51.77     51
CL_J1226.9+3332         5014+3180+932   0.01   0.68  1.37  0.00  0.00 13.02 11.02 15.71  0.18  0.00  0.41   9.12e-04   8.58e-04   9.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.047   91.5   0.75    128
CL_J2302.8+0844              918   0.01   1.16  5.05  0.00  0.00  5.94  4.08  7.67  0.10  0.00  0.39   2.44e-04   2.22e-04   2.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.013   56.3   0.94     68
DLS_J0514-4904              4980   0.71   3.52  2.52  0.00  0.00  4.94  4.39  5.55  0.35  0.12  0.62   1.74e-03   1.61e-03   1.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0912  0.213   63.1   0.86    152
EXO_0422-086                4183   0.10   6.15  6.22  0.00  0.00  3.41  3.28  3.55  0.37  0.29  0.45   1.51e-02   1.46e-02   1.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  1.740   80.8   0.96    259
HERCULES_A                  1625   0.31   2.03  1.49  0.00  3.50  5.28  4.78  5.88  0.42  0.28  0.57   3.76e-03   3.55e-03   3.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1541  0.612   70.8   0.98    169
MACS_J0011.7-1523            6105+3261   0.02   1.10  2.08  0.00  0.00  6.73  6.26  7.28  0.27  0.18  0.37   2.13e-03   2.06e-03   2.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3600  0.178   92.3   0.90    264
MACS_J0025.4-1222            3251+5010   0.01   0.81  2.72  0.00  0.00  6.65  5.80  7.72  0.39  0.20  0.61   9.20e-04   8.57e-04   9.86e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5843  0.059   86.4   0.66     82
MACS_J0035.4-2015           3262   0.24   1.27  1.55  0.00  0.00  7.72  6.98  8.60  0.39  0.26  0.53   3.23e-03   3.11e-03   3.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3644  0.289   94.1   1.02    156
MACS_J0111.5+0855           3256   0.30   1.25  4.18  0.00  0.00  4.12  3.08  5.72  0.00  0.00  0.43   3.49e-04   2.98e-04   3.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2627  0.028   62.6   0.79     20
MACS_J0152.5-2852           3264   0.25   1.11  1.46  0.00  0.00  5.75  4.97  6.80  0.28  0.07  0.50   1.35e-03   1.26e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3407  0.117   90.1   0.84     61
MACS_J0159.0-3412           5818   0.21   1.15  1.54  0.00  0.00 10.99  8.04 16.86  0.50  0.00  1.02   1.34e-03   1.20e-03   1.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4584  0.115   85.3   1.35     38
MACS_J0159.8-0849            6106+3265   0.01   1.53  2.01  0.00  0.00  9.36  8.69 10.13  0.29  0.20  0.38   3.58e-03   3.50e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4050  0.301   94.4   1.05    351
MACS_J0242.5-2132           3266   0.18   1.45  2.71  0.00  0.00  5.48  4.97  6.10  0.32  0.17  0.48   3.70e-03   3.52e-03   3.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3140  0.330   92.5   1.08    115
