#Model: mekal; Energy band: 0.5 keV --> 1.5 keV; Fe-frozen? yes; Tx-frozen? yes
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
MS_1008.1-1224               926   0.20   0.00   0.00   1.00   1.00   1.00   7.64e-05   6.86e-05   8.42e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.07e+05   1.71e-02   4.74     28
MS_2053.7-0449               551   0.20   0.00   0.00   1.00   1.00   1.00   7.16e-05   6.36e-05   7.96e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.19e+05   1.27e-02   1.35     32
RX_J1504.1-0248             5793   0.20   0.00   0.00   1.00   1.00   1.00   7.19e-06   0.00e+00   1.60e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.19e+05   2.78e-03   2.50     21
RX_J1525+0958               1664   0.20   0.00   0.00   1.00   1.00   1.00   2.08e-04   1.98e-04   2.18e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.25e+05   2.56e-02   5.57     31
RX_J1532.9+3021             1665   0.20   0.00   0.00   1.00   1.00   1.00   3.63e-05   2.00e-05   5.27e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.53e+05   3.88e-03   0.80      4
RX_J1720.1+2638             4361   0.20   0.00   0.00   1.00   1.00   1.00   1.88e-05   9.04e-06   2.86e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.01e+05   3.94e-03   1.75     12
RX_J1720.2+3536             6107   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   7.85e-07   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.30e+05  -2.07e-03   2.38     30
RX_J1720.2+3536             7225   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   1.52e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   1.03e+06  -1.92e-03   2.96      1
RX_J2129.6+0005              552   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   7.28e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.10e+05   1.51e-03   1.35     11
ZWCL_1215                   4184   0.20   0.00   0.00   1.00   1.00   1.00   2.14e-05   5.65e-06   3.71e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.46e+05   4.33e-03   1.76      5
ZWCL_1358+6245               516   0.20   0.00   0.00   1.00   1.00   1.00   2.05e-05   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.39e+05   3.27e-02  13.20     31
ZWCL_5247                    539   0.20   0.00   0.00   1.00   1.00   1.00   1.11e-04   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.34e+05   3.51e-02  10.67     10
