# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_2069                  4965   0.03   3.50  1.97  0.00  0.00  8.29  7.27  9.65  0.25  0.14  0.36   4.57e-03   4.38e-03   4.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.177   78.0   1.15    255
ABELL_2111                   544   0.02   2.06  2.20  0.00  0.00  7.18  4.66 13.91  0.07  0.00  0.43   1.55e-03   1.27e-03   1.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.045   74.3   0.97     22
ABELL_2125                  2207   0.02   1.13  2.75  0.00  0.00  3.69  2.88  5.68  0.27  0.00  0.65   3.25e-04   2.42e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.007   68.5   1.22     32
ABELL_2163                  1653   0.02   3.21 13.88  0.00  0.00 19.49 17.63 21.52  0.08  0.01  0.15   2.26e-02   2.23e-02   2.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.860   93.7   1.25    339
ABELL_2204                  6104   0.02   3.02  5.84  0.00  0.00 10.18  9.41 11.13  0.37  0.29  0.45   1.88e-02   1.83e-02   1.92e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.981   86.4   0.97    464
ABELL_2204                   499   0.02   3.02  5.84  0.00  0.00 10.18  9.41 11.13  0.37  0.29  0.45   1.88e-02   1.83e-02   1.92e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.981   86.4   0.97    464
ABELL_2218                  1666   0.02   2.37  3.12  0.00  0.00  9.36  8.29 10.78  0.20  0.11  0.28   5.75e-03   5.56e-03   5.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.222   91.8   0.91    237
ABELL_2219                   896   0.02   2.31  1.76  0.00  0.00 12.54 11.33 14.06  0.32  0.24  0.40   1.20e-02   1.17e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.505   81.1   0.98    294
ABELL_2255                   894   0.05   4.45  2.53  0.00  0.00  7.70  7.01  8.49  0.35  0.27  0.44   9.25e-03   8.96e-03   9.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.398   81.4   0.84    304
ABELL_2256                  1386   1.08   6.56  4.05  0.00  0.00  7.30  6.67  7.99  0.07  0.00  0.17   3.66e-02   3.56e-02   3.75e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  1.579   79.6   1.44    309
