# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_2259                  3245   0.02   2.11  3.70  0.00  0.00  5.49  4.58  6.78  0.32  0.16  0.49   4.91e-03   4.42e-03   5.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.165   90.9   0.92     61
ABELL_2261                  5007   0.02   2.04  3.31  0.00  0.00  9.84  8.54 11.78  0.40  0.28  0.51   6.98e-03   6.70e-03   7.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.263   94.1   0.95    189
ABELL_2294                  3246   0.02   2.36  6.10  0.00  0.00 12.33  9.28 18.05  0.63  0.34  0.99   5.15e-03   4.79e-03   5.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.223   88.6   1.08     80
ABELL_2319                  3231   0.07   7.53  6.10  0.00  0.00 12.50 11.59 13.57  0.35  0.29  0.42   7.28e-02   7.18e-02   7.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  3.347   93.0   1.16    334
ABELL_2384                  4202   0.04   2.96  2.99  0.00  0.00  6.78  5.89  7.91  0.08  0.00  0.18   4.33e-03   4.10e-03   4.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.168   86.9   0.88    170
ABELL_2390                  4193   0.02   2.20  6.71  0.00  0.00 10.53 10.00 11.15  0.36  0.32  0.41   1.24e-02   1.23e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.505   81.3   1.03    329
ABELL_2409                  3247   0.02   2.42  6.72  0.00  0.00  5.87  5.11  6.82  0.38  0.25  0.51   7.81e-03   7.29e-03   8.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.274   92.7   0.76     92
ABELL_2537                  4962   0.02   1.49  4.26  0.00  0.00  7.83  6.67  9.37  0.38  0.25  0.52   2.54e-03   2.37e-03   2.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.091   59.8   0.83    118
ABELL_2550                  2225   0.02   1.60  2.03  0.00  0.00  2.56  2.07  3.25  0.00  0.00  0.13   9.41e-04   7.39e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.018   47.4   1.14     59
ABELL_2554                  1696   0.04   3.36  2.04  0.00  0.00  6.46  5.22  8.39  0.32  0.13  0.53   3.38e-03   3.08e-03   3.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.146   40.6   0.79    134
ABELL_2556                  2226   0.05   3.35  2.02  0.00  0.00  4.07  3.61  4.63  0.40  0.26  0.56   5.93e-03   5.51e-03   6.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.223   58.1   0.95    161
ABELL_2589                  3210   0.10   2.38  3.98  0.00  0.00  4.46  3.16  7.24  0.38  0.00  1.09   5.83e-03   4.74e-03   7.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.247   76.6   0.92     18
ABELL_2597                   922   0.05   1.13  2.51  0.00  0.00  4.62  4.15  5.20  0.31  0.20  0.42   6.01e-03   5.63e-03   6.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  0.240   94.4   1.00    116
ABELL_2626                  3192   0.07   3.10  4.30  0.00  0.00  3.47  3.20  3.79  0.63  0.47  0.80   6.30e-03   5.91e-03   6.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.243   64.5   0.99    181
ABELL_2634                  4816   0.13   2.21  5.07  0.00  0.00  2.85  2.52  3.29  0.68  0.35  1.11   1.14e-03   9.79e-04   1.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.042   35.7   0.86    103
