# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_2034                  2204   0.00   0.40  1.58  0.00  0.00  7.63  7.02  8.35  0.42  0.28  0.58   4.57e-04   4.42e-04   4.72e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.058   96.8 493.72    431
ABELL_2065                 31821   0.00   0.62  2.96  0.00  0.00  4.05  3.93  4.20  0.41  0.35  0.49   2.34e-03   2.28e-03   2.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  0.288   98.5 475.54    431
ABELL_2069                  4965   0.00   0.39  1.97  0.00  0.00  6.51  5.65  7.64  0.64  0.33  1.05   1.38e-04   1.27e-04   1.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.015   88.0 418.17    431
ABELL_2111                   544   0.00   0.23  2.20  0.00  0.00  5.05  4.03  6.65  0.34  0.04  0.85   1.56e-04   1.34e-04   1.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.016   94.8 280.65    431
ABELL_2125                  2207   0.00   0.21  2.75  0.00  0.00  3.55  2.37  4.58  0.70  0.00  1.55   2.86e-05   2.24e-05   4.19e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.003   84.4 328.66    431
ABELL_2163                  1653   0.00   0.29 12.04  0.00  0.00 20.21 17.29 23.61  0.34  0.13  0.57   8.02e-04   7.70e-04   8.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.074   98.6 453.55    431
ABELL_2204                  6104   0.31   0.31  5.84  0.00  0.00  4.54  4.47  4.62  0.77  0.72  0.83   9.76e-03   9.60e-03   9.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.140   99.6 929.93    862
ABELL_2204                   499   0.31   0.31  5.84  0.00  0.00  4.54  4.47  4.62  0.77  0.72  0.83   9.76e-03   9.60e-03   9.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.140   99.6 929.93    862
ABELL_2218                  1666   0.00   0.29  3.12  0.00  0.00 10.18  8.88 11.80  0.33  0.13  0.56   4.22e-04   4.03e-04   4.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.046   98.0 494.95    431
ABELL_2219                   896   0.00   0.23  1.76  0.00  0.00 13.83 12.08 16.36  0.00  0.00  0.12   5.08e-04   5.01e-04   5.19e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.073   94.1 442.38    431
ABELL_2255                   894   0.00   0.55  2.53  0.00  0.00  9.03  7.68 10.94  0.36  0.08  0.70   2.57e-04   2.42e-04   2.72e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.034   90.2 497.69    431
ABELL_2256                  1386   0.77   0.77  4.05  0.00  0.00  7.94  7.32  8.76  0.41  0.25  0.63   1.03e-03   9.86e-04   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  0.145   81.9 961.44    862
ABELL_2256                  2419   0.77   0.77  4.05  0.00  0.00  7.94  7.32  8.76  0.41  0.25  0.63   1.03e-03   9.86e-04   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  0.145   81.9 961.44    862
ABELL_2259                  3245   0.00   0.30  3.70  0.00  0.00  5.20  4.52  6.14  0.28  0.09  0.55   5.10e-04   4.71e-04   5.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.052   98.0 393.38    431
ABELL_2261                  5007   0.00   0.23  3.31  0.00  0.00  7.27  6.78  7.82  0.60  0.47  0.74   1.31e-03   1.26e-03   1.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.135   99.6 494.13    431
ABELL_2294                  3246   0.00   0.28  6.10  0.00  0.00  8.96  7.23 11.72  0.18  0.00  0.54   5.21e-04   4.81e-04   5.55e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.053   98.0 425.67    431
