# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_1942                  3290   0.00   1.68  2.75  0.00  0.00  5.02  4.64  5.44  0.39  0.25  0.53   1.20e-03   1.15e-03   1.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.116   79.1   1.00    164
ABELL_1995                   906   0.00   0.97  1.44  0.00  0.00  8.26  7.65  8.96  0.36  0.25  0.47   2.21e-03   2.15e-03   2.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.303   82.5   1.05    198
ABELL_2029                  6101   0.00   5.00  3.26  0.00  0.00  7.86  7.63  8.11  0.48  0.42  0.53   6.44e-02   6.37e-02   6.51e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  8.076   95.9   1.16    408
ABELL_2034                  2204   0.00   3.47  1.58  0.00  0.00  7.36  7.13  7.62  0.34  0.29  0.39   1.03e-02   1.01e-02   1.04e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.257   90.6   1.16    401
ABELL_2065                 31821   0.00   4.63  2.96  0.00  0.00  5.40  5.25  5.54  0.29  0.24  0.33   1.84e-02   1.82e-02   1.86e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  2.241   91.2   1.15    383
ABELL_2069                  4965   0.00   3.50  1.97  0.00  0.00  6.33  6.01  6.68  0.25  0.17  0.33   5.15e-03   5.04e-03   5.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.550   78.2   1.15    345
ABELL_2111                   544   0.00   2.06  2.20  0.00  0.00  5.81  4.83  7.26  0.15  0.00  0.44   1.62e-03   1.50e-03   1.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.163   74.3   1.01     60
ABELL_2125                  2207   0.00   1.13  2.75  0.00  0.00  3.09  2.76  3.45  0.33  0.14  0.56   3.96e-04   3.57e-04   4.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.035   69.5   1.17     94
ABELL_2163                  1653   0.00   3.21 12.04  0.00  0.00 18.80 17.96 19.68  0.10  0.05  0.16   2.34e-02   2.31e-02   2.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.137   93.9   1.37    428
ABELL_2204                  6104   0.00   3.02  5.84  0.00  0.00  6.74  6.57  6.92  0.47  0.42  0.51   2.94e-02   2.90e-02   2.98e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  3.282   90.5   1.08    663
