#Model: mekal; Energy band: 0.4 keV --> 1.0 keV; Fe-frozen? yes; Tx-frozen? no
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
ABELL_2063                  6263   0.67   0.64   0.71   1.00   1.00   1.00   4.30e-05   4.00e-05   4.62e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.672e+05   2.71e-02   3.72     13
ABELL_2069                  4965   0.12   0.08   0.16   1.00   1.00   1.00  -1.14e-04  -9.52e-04  -4.37e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.667e+05  -1.26e-03   0.94     11
ABELL_2104                   895   0.63   0.59   0.66   1.00   1.00   1.00   1.17e-05   1.06e-05   1.28e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.385e+05   1.03e-02   1.60     19
ABELL_2111                   544   1.02   0.54   1.64   1.00   1.00   1.00  -2.40e-05  -8.53e-05  -7.12e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.166e+05  -2.33e-03   1.04      3
ABELL_2124                  3238   1.14   1.01   1.24   1.00   1.00   1.00   4.48e-05   3.11e-05   5.77e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.269e+05   7.54e-03   0.24      3
ABELL_2125                  2207   0.24   0.23   0.27   1.00   1.00   1.00  -3.21e-05  -3.79e-05  -2.67e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.680e+05  -5.02e-03   2.11     13
ABELL_2147                  3211   0.26   0.24   0.27   1.00   1.00   1.00   1.62e-04   1.46e-04   1.80e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.328e+05   2.43e-02   1.53      9
ABELL_2163                  1653   0.47   0.40   0.54   1.00   1.00   1.00   2.24e-05   1.98e-05   2.60e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.132e+05   6.06e-03   0.92     19
ABELL_2199                   497   0.75   0.71   0.79   1.00   1.00   1.00   5.65e-05   5.23e-05   6.18e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.165e+05   4.53e-02   4.01     16
ABELL_2204                   499   0.34   0.32   0.37   1.00   1.00   1.00   4.60e-05   4.20e-05   4.98e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.585e+05   3.81e-02   3.23      8
ABELL_2204                  6104   0.24   0.22   0.25   1.00   1.00   1.00   2.42e-04   2.11e-04   2.76e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.895e+05   3.33e-02   2.53      6
ABELL_2218                  1666   0.08   0.08   0.19   1.00   1.00   1.00   1.84e-04   1.86e-06   3.64e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.468e+05   8.96e-04   1.86     11
ABELL_2219                   896   0.84   0.68   1.38   1.00   1.00   1.00   4.40e-06   2.82e-06   1.49e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.384e+05   3.25e-03   1.05     18
ABELL_2244                  4179   0.96   0.88   1.05   1.00   1.00   1.00   2.40e-05   1.94e-05   3.08e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.328e+05   7.92e-03   1.07     15
ABELL_2255                   894   0.75   0.62   0.97   1.00   1.00   1.00   8.09e-06   5.44e-06   1.21e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.198e+05   1.64e-03   1.02     15
ABELL_2259                  3245   0.14   0.08  79.90   1.00   1.00   1.00  -3.61e-05  -9.53e-04   3.31e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.937e+05  -6.12e-04   1.30      1
ABELL_2261                  5007   0.23   0.18   0.32   1.00   1.00   1.00  -1.67e-05  -2.92e-05  -7.59e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.152e+05  -1.50e-03   0.98      4
ABELL_2294                  3246   2.95   0.08  79.90   1.00   1.00   1.00  -2.69e-05  -1.78e-04   6.66e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.697e+05  -6.82e-04   0.04      1
ABELL_2319                  3231   0.67   0.61   0.72   1.00   1.00   1.00   3.86e-05   3.44e-05   4.30e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  5.250e+05   1.31e-02   1.96      6
ABELL_2384                  4202   0.21   0.19   0.23   1.00   1.00   1.00   5.66e-05   4.42e-05   7.13e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.944e+05   6.64e-03   0.73      9
ABELL_2390                  4193   0.36   0.31   0.64   1.00   1.00   1.00   5.48e-06   3.95e-06   6.48e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.774e+05   3.29e-03   1.31     17
ABELL_2409                  3247   0.80   0.29  79.90   1.00   1.00   1.00   2.71e-05   8.56e-06   4.14e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.450e+05   2.83e-03   0.54      1
ABELL_2537                  4962   0.20   0.17   0.24   1.00   1.00   1.00  -7.63e-06  -1.01e-05  -5.74e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.240e+05  -2.69e-03   0.71      4
ABELL_2550                  2225   0.57   0.40   0.66   1.00   1.00   1.00   5.29e-06   4.49e-06   6.15e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.256e+05   3.94e-03   0.72     11
ABELL_2554                  1696   0.56   0.48   0.62   1.00   1.00   1.00   1.31e-05   1.17e-05   1.47e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.580e+05   9.72e-03   0.80      5
ABELL_2556                  2226   1.21   1.11   1.32   1.00   1.00   1.00   6.63e-05   5.13e-05   8.10e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.964e+05   8.94e-03   2.15      4
