# Model: wabs(mekal) for inner50chi spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk   cash    dof
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.86  4.77 11.65  0.07  0.00  0.54   2.12e-04   1.79e-04   2.44e-04  1.04  0.60  1.89  1.033  0.809  1.240  0.5700  0.013      0 331.52    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.89  4.59 10.54  0.00  0.00  0.42   2.38e-04   2.06e-04   2.74e-04  1.04  0.58  1.76  1.161  0.925  1.394  0.5700  0.014      0 334.49    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.89  4.59 10.54  0.00  0.00  0.42   2.38e-04   2.06e-04   2.74e-04  1.04  0.58  1.76  1.161  0.925  1.394  0.5700  0.014      0 334.49    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.89  4.59 10.54  0.00  0.00  0.42   2.38e-04   2.06e-04   2.74e-04  1.04  0.58  1.76  1.161  0.925  1.394  0.5700  0.014      0 334.49    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.02  4.56  8.73  0.10  0.00  0.60   2.59e-04   2.21e-04   3.00e-04  0.91  0.56  1.49  1.261  0.995  1.522  0.5700  0.015      0 308.04    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.02  4.56  8.73  0.10  0.00  0.60   2.59e-04   2.21e-04   3.00e-04  0.91  0.56  1.49  1.261  0.995  1.522  0.5700  0.015      0 308.04    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.25  6.09 17.17  0.00  0.00  0.46   1.97e-04   1.75e-04   2.24e-04  1.40  0.77  2.74  0.963  0.780  1.145  0.5700  0.012      0 330.63    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  7.03  5.14 11.32  0.14  0.00  0.67   2.18e-04   1.86e-04   2.54e-04  1.06  0.64  1.86  1.062  0.840  1.288  0.5700  0.013      0 292.86    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  9.25  6.09 17.17  0.00  0.00  0.46   1.97e-04   1.75e-04   2.24e-04  1.40  0.77  2.74  0.963  0.780  1.145  0.5700  0.012      0 330.63    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  7.90  5.42 13.04  1.05  0.38  2.73   1.58e-04   1.21e-04   1.95e-04  1.19  0.68  2.13  0.771  0.558  0.978  0.5700  0.012      0 312.49    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  7.90  5.42 13.04  1.05  0.38  2.73   1.58e-04   1.21e-04   1.95e-04  1.19  0.68  2.13  0.771  0.558  0.978  0.5700  0.012      0 312.49    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.19  4.51  9.53  0.64  0.11  1.57   1.85e-04   1.51e-04   2.21e-04  0.93  0.56  1.59  0.901  0.686  1.113  0.5700  0.012      0 301.68    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.19  4.51  9.53  0.64  0.11  1.57   1.85e-04   1.51e-04   2.21e-04  0.93  0.56  1.59  0.901  0.686  1.113  0.5700  0.012      0 301.68    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.19  4.51  9.53  0.64  0.11  1.57   1.85e-04   1.51e-04   2.21e-04  0.93  0.56  1.59  0.901  0.686  1.113  0.5700  0.012      0 301.68    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  5.22  3.86  7.69  0.35  0.00  1.00   1.97e-04   1.63e-04   2.36e-04  0.79  0.48  1.30  0.962  0.742  1.190  0.5700  0.012      0 263.26    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  5.22  3.86  7.69  0.35  0.00  1.00   1.97e-04   1.63e-04   2.36e-04  0.79  0.48  1.30  0.962  0.742  1.190  0.5700  0.012      0 263.26    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.23  4.49  9.46  0.62  0.15  1.46   2.08e-04   1.72e-04   2.47e-04  0.94  0.56  1.58  1.013  0.782  1.245  0.5700  0.014      0 350.04    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.22  4.68  5.94  0.73  0.44  1.14   7.72e-04   7.02e-04   8.38e-04  1.03  0.90  1.20  0.986  0.883  1.087  0.0753  0.104      0 444.74    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.60  4.97  6.40  0.87  0.54  1.33   7.40e-04   6.71e-04   8.04e-04  1.10  0.95  1.29  0.945  0.844  1.044  0.0753  0.103      0 473.89    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.60  4.97  6.40  0.87  0.54  1.33   7.40e-04   6.71e-04   8.04e-04  1.10  0.95  1.29  0.945  0.844  1.044  0.0753  0.103      0 473.89    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.60  4.97  6.40  0.87  0.54  1.33   7.40e-04   6.71e-04   8.04e-04  1.10  0.95  1.29  0.945  0.844  1.044  0.0753  0.103      0 473.89    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.01  4.46  5.67  0.89  0.53  1.33   7.01e-04   6.32e-04   7.68e-04  0.99  0.86  1.14  0.895  0.795  0.995  0.0753  0.097      0 512.74    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.01  4.46  5.67  0.89  0.53  1.33   7.01e-04   6.32e-04   7.68e-04  0.99  0.86  1.14  0.895  0.795  0.995  0.0753  0.097      0 512.74    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.12  4.53  5.85  0.50  0.25  0.82   7.79e-04   7.17e-04   8.39e-04  1.01  0.87  1.18  0.995  0.900  1.091  0.0753  0.099      0 474.82    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.12  4.53  5.85  0.50  0.25  0.82   7.79e-04   7.17e-04   8.39e-04  1.01  0.87  1.18  0.995  0.900  1.091  0.0753  0.099      0 474.82    431
2PIGG_J0011.5-2850          5797   0.00    1.0  2.18  0.00  0.00  5.12  4.53  5.85  0.50  0.25  0.82   7.79e-04   7.17e-04   8.39e-04  1.01  0.87  1.18  0.995  0.900  1.091  0.0753  0.099      0 474.82    431
