# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
 # Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.00; Systematic error = 0.00
 # Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_3112                  2516   0.00   0.61  2.50  0.00  0.00  3.42  3.37  3.48  0.51  0.51  0.51   9.16e-03   9.10e-03   9.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  1.631   98.4 334.47    227
ABELL_3158                  3201   0.00   0.74  1.60  0.00  0.00  5.85  5.51  6.23  0.30  0.30  0.30   1.44e-03   1.42e-03   1.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  0.181   97.1 126.53    128
ABELL_3266                   899   0.00   0.73  1.72  0.00  0.00  7.54  7.08  8.06  0.32  0.32  0.32   1.72e-03   1.70e-03   1.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  0.207   96.3 141.23    158
ABELL_3558                  1646   0.00   0.89  3.84  0.00  0.00  5.54  5.31  5.79  0.33  0.33  0.33   4.36e-03   4.31e-03   4.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  0.779   93.1 166.51    167
ABELL_3562                  4167   0.00   0.87  3.90  0.00  0.00  4.33  4.13  4.57  0.30  0.30  0.30   1.77e-03   1.74e-03   1.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  0.202   96.7 122.54    115
ABELL_3571                  4203   0.00   1.07  4.66  0.00  0.00  7.90  7.71  8.09  0.30  0.30  0.30   1.03e-02   1.02e-02   1.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  1.764   94.9 414.42    354
ABELL_3667                  5751   0.00   0.77  5.45  0.00  0.00  6.14  5.96  6.33  0.29  0.29  0.29   1.56e-03   1.55e-03   1.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0556  0.173   95.2 303.19    293
ABELL_4038                  4992   0.00   1.39  1.57  0.00  0.00  3.12  3.08  3.17  0.30  0.30  0.30   9.61e-03   9.55e-03   9.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  1.161   98.1 467.31    300
AC_114                      1562   0.00   0.18  1.44  0.00  0.00  6.71  5.97  7.67  0.30  0.30  0.30   1.47e-04   1.43e-04   1.51e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.019   87.9  42.52     44
CL_0024+17                   929   0.00   0.16  4.36  0.00  0.00  2.96  2.56  3.65  0.30  0.30  0.30   9.04e-05   8.37e-05   9.69e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.009   82.2  15.37     11
CL_1221+4918                1662   0.00   0.11  1.44  0.00  0.00  3.43  2.52  5.02  0.30  0.30  0.30   2.94e-05   2.37e-05   3.82e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.001   90.1   0.11      3
CL_J0030+2618               5762   0.00   0.28  4.10  0.00  0.00 16.80  2.48 79.90  0.30  0.30  0.30   1.08e-04   9.03e-05   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.004   85.3   0.02      2
CL_J0152-1357                913   0.00   0.28  4.10  0.00  0.00 10.76  2.48 79.90  0.30  0.30  0.30   2.10e-05   1.03e-05   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.004   85.3   0.02      2
CL_J0542.8-4100              914   0.00   0.12  3.59  0.00  0.00 23.84  8.75 79.90  0.30  0.30  0.30   3.55e-05   3.12e-05   4.69e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.002   91.7   3.31      4
CL_J0848+4456                927   0.00   0.13  2.53  0.00  0.00  5.85  3.52 15.32  0.30  0.30  0.30   1.16e-05   9.86e-06   1.41e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.001   76.5   0.38      3
CL_J1113.1-2615              915   0.00   0.11  5.51  0.00  0.00  5.76  4.24  9.31  0.30  0.30  0.30   3.34e-05   2.96e-05   3.79e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.002   90.9   2.85      6
CL_J1213+0253               4934   0.00   0.31  1.78  0.00  0.00  2.22  1.67  3.21  0.30  0.30  0.30   9.17e-05   7.38e-05   1.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4090  0.004   78.5   2.29      3
CL_J1226.9+3332              932   0.00   0.11  1.37  0.00  0.00  2.36  1.32  8.74  0.30  0.30  0.30   2.37e-04   1.58e-04   3.82e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.007   92.4   0.01      2
CL_J1641+4001               3575   0.00   0.14  1.09  0.00  0.00  5.36  4.02  8.99  0.30  0.30  0.30   3.63e-05   3.21e-05   4.29e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4640  0.002   91.3   0.81      4
CL_J2302.8+0844              918   0.00   0.11  5.05  0.00  0.00  5.01  3.81  7.27  0.30  0.30  0.30   2.52e-05   2.22e-05   2.96e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.001   84.9   3.25      5
CYGNUS_A                     360   0.00   0.76 35.23  0.00  0.00  6.53  6.46  6.60  0.72  0.72  0.72   2.14e-02   2.14e-02   2.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0561  2.927   97.9 1847.27    417
ESO_3060170                 3189   0.00   1.17  3.43  0.00  0.00  2.16  2.11  2.22  0.30  0.30  0.30   3.41e-03   3.36e-03   3.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0358  0.370   95.7 139.05    122
