# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep
MACS_J0717.5+3745           1655      6     0.1358     0.1180     0.3358     0.2916     1.1514
MACS_J0717.5+3745           4200      6     0.0773     0.0701     0.2787     0.2529     1.1020
MACS_J0744.8+3927           3197      6     0.0835     0.0701     0.3012     0.2529     1.1910
MACS_J0744.8+3927           3585      6     0.0741     0.0701     0.2674     0.2529     1.0573
MACS_J0825.5+6157           3198      6     0.0766     0.0701     0.2762     0.2529     1.0920
MACS_J0911.2+1746           3587      6     0.0763     0.0701     0.2752     0.2529     1.0882
MACS_J1006.9+3200           5819      6     0.0857     0.0701     0.3091     0.2529     1.2222
MACS_J1105.7-1014           5817      6     0.0897     0.0701     0.3236     0.2529     1.2795
MACS_J1108.8+0906           3252      6     0.0796     0.0701     0.2873     0.2529     1.1359
MACS_J1108.8+0906           5009      6     0.0848     0.0701     0.3059     0.2529     1.2097
MACS_J1115.2+5320           3253      6     0.0786     0.0701     0.2836     0.2529     1.1215
MACS_J1115.2+5320           5008      6     0.0888     0.0701     0.3204     0.2529     1.2668
MACS_J1115.2+5320           5350      6     0.1275     0.0701     0.4600     0.2529     1.8191
MACS_J1131.8-1955           3276      6     0.0876     0.0701     0.3160     0.2529     1.2496
MACS_J1149.5+2223           1656      6     0.0743     0.0701     0.2680     0.2529     1.0595
MACS_J1149.5+2223           3589      6     0.0778     0.0701     0.2807     0.2529     1.1098
MACS_J1206.2-0847           3277      6     0.0741     0.0701     0.2671     0.2529     1.0563
MACS_J1226.8+2153           3590      6     0.0740     0.0701     0.2671     0.2529     1.0562
MACS_J1311.0-0310           3258      6     0.0741     0.0701     0.2674     0.2529     1.0572
MACS_J1359.1-1929           5811      6     0.0896     0.0701     0.3233     0.2529     1.2783
MACS_J1427.2+4407           6112      6     0.0811     0.0701     0.2926     0.2529     1.1569
MACS_J1542.0-2915           5820      6     0.0953     0.0701     0.3438     0.2529     1.3596
MACS_J1621.3+3810           3254      6     0.0848     0.0701     0.3058     0.2529     1.2093
MACS_J1621.6+3810           6172      6     0.0953     0.0701     0.3436     0.2529     1.3587
MACS_J1731.6+2252           3281      6     0.0739     0.0701     0.2665     0.2529     1.0540
MACS_J1824.3+4309           3255      6     0.0768     0.0701     0.2771     0.2529     1.0959
MACS_J2046.0-3430           5816      6     0.0986     0.0701     0.3558     0.2529     1.4068
MACS_J2049.9-3217           3283      6     0.0776     0.0701     0.2801     0.2529     1.1075
MACS_J2211.7-0349           3284      6     0.0744     0.0701     0.2683     0.2529     1.0609
MACS_J2214.9-1359           3259      6     0.0783     0.0701     0.2826     0.2529     1.1174
MACS_J2214.9-1359           5011      6     0.0750     0.0701     0.2704     0.2529     1.0691
MACS_J2243.3-0935           3260      6     0.0740     0.0701     0.2669     0.2529     1.0554
MACS_J2245.0+2637           3287      6     0.0837     0.0701     0.3018     0.2529     1.1934
MACS_J911.2+1746            5012      6     0.0824     0.0701     0.2971     0.2529     1.1749
RX_J0647.7+7015             3196      6     0.0827     0.0701     0.2982     0.2529     1.1793
RX_J1720.3+3536             6107      6     0.1072     0.0701     0.3869     0.2529     1.5298
RX_J1720.3+3536             7225      6     0.1080     0.0701     0.3895     0.2529     1.5400
