#ResultsfromquerytoNASA/IPACExtragalacticDatabase(NED),
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime:2009-12-03T16:26:02PST
#PhotometricDataforUGC08058
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
52	F160W(HST/NICMOS2)	10.49		mag	1.87E+14	6.90E-02		Jy	2006ApJ643707V	nouncertaintyreported	1.606microns	Broad-bandmeasurement		Modelleddatum	PSFcomponent;n=4.0;r_{1/2}=1.31	Fromnewrawdata
53	F_H(total)	2.03	1.44	logmilliJy	1.84E+14	1.07E-01	2.77E-02	Jy	1995ApJ453616S	1sigma	1.634microns	Broad-bandmeasurement		Correctedtototalfluxfromsingleaperturemeasurement		Homogenizedfromnewandpreviouslypublisheddata
54	1.65microns	0.093	0.005	Jy	1.84E+14	9.30E-02	5.00E-03	Jy	1976PASP88870J	uncertainty	1.63microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
55	1.6microns	0.077	10%	Jy	1.84E+14	7.70E-02	7.80E-03	Jy	1978ApJ226550R	uncertainty	1.63microns	Broad-bandmeasurement		Fluxinfixedaperture	8.5"aperture	Fromnewrawdata
56	H_20(2MASSLGA)	9.916	0.016	mag	1.82E+14	1.11E-01	1.64E-03	Jy	2003AJ.125525J	1sigmauncert.	1.65microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxintegratedfrommap	36.4x30.2arcsecintegrationarea.	Fromnewrawdata
57	H_Kron(2MASSLGA)	10.018	0.015	mag	1.82E+14	1.01E-01	1.40E-03	Jy	2003AJ.125525J	1sigmauncert.	1.65microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxintegratedfrommap	17.2x14.3arcsecintegrationarea.	Fromnewrawdata
58	H_tot(2MASSLGA)	9.889	0.019	mag	1.82E+14	1.13E-01	2.00E-03	Jy	2003AJ.125525J	1sigmauncert.	1.65microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Totalflux		Fromnewrawdata
59	H_14arcsec(2MASS)	10.035	0.015	mag	1.82E+14	9.92E-02	1.38E-03	Jy	20032MASX.C.:	1sigmauncert.	1.65microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxinfixedaperture	14.0x14.0arcsecaperture	Fromnewrawdata
60	H(UH)	9.91	0.05	mag	1.82E+14	1.13E-01	5.20E-03	Jy	1999ApJ512162S	uncertainty	1.65microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
61	H(UH)	10.13	0.05	mag	1.82E+14	9.23E-02	4.25E-03	Jy	1999ApJ512162S	uncertainty	1.65microns	Broad-bandmeasurement		Fluxinfixedaperture	Nuclearmag	Fromnewrawdata
62	1.65microns	0.090	0.004	Jy	1.82E+14	9.00E-02	4.00E-03	Jy	1975PASP87683J	uncertainty	1.65microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
63	H(KPNO)	0.074	0.002	Jy	1.81E+14	7.40E-02	2.00E-03	Jy	1979ApJ234471M	uncertainty	1.66microns	Broad-bandmeasurement		Fluxinfixedaperture	10"aperture	Fromnewrawdata
64	H(KPNO)	0.085	0.001	Jy	1.81E+14	8.50E-02	1.00E-03	Jy	1979ApJ234471M	uncertainty	1.66microns	Broad-bandmeasurement		Fluxinfixedaperture	15"aperture	Fromnewrawdata
65	K'(UH)	8.87	0.05	mag	1.41E+14	2.01E-01	9.26E-03	Jy	1999ApJ512162S	uncertainty	2.12microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
66	K'(UH)	8.98	0.05	mag	1.41E+14	1.82E-01	8.37E-03	Jy	1999ApJ512162S	uncertainty	2.12microns	Broad-bandmeasurement		Fluxinfixedaperture	Nuclearmag	Fromnewrawdata
67	K_20(2MASSLGA)	8.860	0.016	mag	1.38E+14	1.91E-01	2.83E-03	Jy	2003AJ.125525J	1sigmauncert.	2.17microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxintegratedfrommap	36.4x30.2arcsecintegrationarea.	Fromnewrawdata
68	K_Kron(2MASSLGA)	8.926	0.015	mag	1.38E+14	1.79E-01	2.49E-03	Jy	2003AJ.125525J	1sigmauncert.	2.17microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxintegratedfrommap	17.2x14.3arcsecintegrationarea.	Fromnewrawdata
69	K_tot(2MASSLGA)	8.813	0.017	mag	1.38E+14	1.99E-01	3.14E-03	Jy	2003AJ.125525J	1sigmauncert.	2.17microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Totalflux		Fromnewrawdata
70	K_s_14arcsec(2MASS)	8.938	0.015	mag	1.38E+14	1.77E-01	2.47E-03	Jy	20032MASX.C.:	1sigmauncert.	2.17microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxinfixedaperture	14.0x14.0arcsecaperture	Fromnewrawdata
71	F_K(total)	2.27	1.68	logmilliJy	1.37E+14	1.86E-01	4.82E-02	Jy	1995ApJ453616S	1sigma	2.194microns	Broad-bandmeasurement		Correctedtototalfluxfromsingleaperturemeasurement		Homogenizedfromnewandpreviouslypublisheddata
72	2.2microns	0.175		Jy	1.36E+14	1.75E-01		Jy	1976ApJ210L5R	nouncertaintyreported	2.2microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
73	2.2microns	0.154	0.003	Jy	1.36E+14	1.54E-01	3.00E-03	Jy	1975PASP87683J	uncertainty	2.2microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
