#ID                                  Freq            Flux            Ferr       Type       Line
#--                                    Hz              Jy              Jy         --         --
# 5GHz(VLBA)                     5.0000e+09      1.8500e-01      0.0000e+00       cont       none
# 4.89GHz(VLA)                   4.8900e+09      2.7000e-01      1.4000e-02       cont       none
# 4.89GHz(VLA)                   4.8900e+09      2.7800e-01      1.3000e-02       cont       none
# 4.85GHz                        4.8500e+09      4.1900e-01      4.3000e-02       cont       none
# 4.85GHz                        4.8500e+09      4.1400e-01      6.2100e-02       cont       none
# 6cm(NRAO)                      4.7500e+09      1.5400e-01      2.4000e-02       cont       none
# 2.7GHz                         2.7000e+09      1.6500e-01      8.0000e-03       cont       none
# 1.46GHz(VLA)                   1.4600e+09      2.5500e-01      1.3000e-02       cont       none
# 1.4GHz(VLA)                    1.4200e+09      2.3700e-01      0.0000e+00       cont       none
# HI(21cmline)                   1.4200e+09      4.6100e-06      4.6100e-06       cont       none
# 1.4GHz(VLA)                    1.4000e+09      3.0900e-01      0.0000e+00       cont       none
# 1.40GHz                        1.4000e+09      2.8800e-01      0.0000e+00       cont       none
# Texas365MHz                    3.6500e+08      5.5100e-01      3.9000e-02       cont       none
