# Name                             Obsid        type           z        flux         err     intrlum  intrlumerr    source
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s    ------
2PIGG_J2227.0-3041                  5798           F      0.0729      0.2277      0.0068     32.3975      0.9675      NVSS
3C_28.0                             3233           F      0.1952      1.3617      0.0454   1633.4775     54.4612      NVSS
3C_295                              2254           F      0.4641     22.7201      0.6816 203380.5509   6101.3899      NVSS
3C_388                              5295           F      0.0917      5.5968      0.1854   1294.0981     42.8684      NVSS
4C_55.16                            4940           F      0.2420      8.2831      0.2485  16141.1180    484.2472      NVSS
ABELL_0013                          4945          NF      0.0940      0.0025      0.0003      0.6094      0.0609      NVSS
ABELL_0085                           904           F      0.0558      0.0567      0.0025      4.6103      0.2033      NVSS
ABELL_0119                          4180          NF      0.0442      0.0025      0.0003      0.1254      0.0125      NVSS
ABELL_0133                          2203          NF      0.0558      0.0025      0.0003      0.2033      0.0203      NVSS
ABELL_0262                          7921           F      0.0164      0.0657      0.0023      0.4347      0.0152      NVSS
ABELL_0262                          2215           F      0.0164      0.0657      0.0023      0.4347      0.0152      NVSS
ABELL_0370                           515          NF      0.3747      0.0025      0.0003     13.4355      1.3436      NVSS
ABELL_0383                          2321           F      0.1871      0.0409      0.0013     44.6304      1.4186      NVSS
ABELL_0399                          3230          NF      0.0716      0.0025      0.0003      0.3425      0.0342      NVSS
ABELL_0496                          3361           F      0.0328      0.1206      0.0043      3.2735      0.1167      NVSS
ABELL_0514                          3578          NF      0.0720      0.0025      0.0003      0.3465      0.0347      NVSS
ABELL_0520                          4215          NF      0.2020      0.0025      0.0003      3.2382      0.3238      NVSS
ABELL_0576                          3289          NF      0.0385      0.0025      0.0003      0.0943      0.0094      NVSS
ABELL_0586                           530           F      0.1710      0.0055      0.0005      4.9137      0.4467      NVSS
ABELL_0611                          3194          NF      0.2880      0.0025      0.0003      7.2625      0.7262      NVSS
ABELL_0644                          2211          NF      0.0698      0.0025      0.0003      0.3246      0.0325      NVSS
ABELL_0665                          3586          NF      0.1810      0.0025      0.0003      2.5338      0.2534      NVSS
ABELL_0697                          4217          NF      0.2820      0.0025      0.0003      6.9178      0.6918      NVSS
ABELL_0754                           577          NF      0.0543      0.0025      0.0003      0.1921      0.0192      NVSS
ABELL_0773                          5006          NF      0.2170      0.0025      0.0003      3.8046      0.3805      NVSS
ABELL_0907                          3205           F      0.1527      0.0686      0.0025     47.7444      1.7400      NVSS
ABELL_0907                          3185           F      0.1527      0.0686      0.0025     47.7444      1.7400      NVSS
ABELL_0907                           535           F      0.1527      0.0686      0.0025     47.7444      1.7400      NVSS
ABELL_0963                           903          NF      0.2056      0.0025      0.0003      3.3692      0.3369      NVSS
ABELL_1060                          2220          NF      0.0125      0.0025      0.0003      0.0096      0.0010      NVSS
ABELL_1063S                         4966          NF      0.3540      0.0100      0.0005     21.1003      1.0550     SUMSS
ABELL_1068                          1652           F      0.1375      0.0231      0.0011     12.7801      0.6086      NVSS
ABELL_1201                          4216          NF      0.1688      0.0025      0.0003      2.1704      0.2170      NVSS
ABELL_1204                          2205          NF      0.1706      0.0025      0.0003      2.2219      0.2222      NVSS
ABELL_1413                          5003          NF      0.1426      0.0025      0.0003      1.5967      0.1995      NVSS
ABELL_1644                          7922           F      0.0471      0.0984      0.0030      5.6275      0.1716      NVSS
ABELL_1644                          2206           F      0.0471      0.0984      0.0030      5.6275      0.1716      NVSS
ABELL_1650                          4178          NF      0.0843      0.0025      0.0003      0.4835      0.0483      NVSS
ABELL_1651                          4185          NF      0.0840      0.0025      0.0003      0.8516      0.0660      NVSS
ABELL_1736                          4186          NF      0.0338      0.0025      0.0003      0.0722      0.0072      NVSS
ABELL_1758                          2213          NF      0.2792      0.0025      0.0003      6.7605      0.6760      NVSS
ABELL_1763                          3591          NF      0.1866      0.0025      0.0003      2.7118      0.2712      NVSS
ABELL_1835                           495           F      0.2532      0.0393      0.0016     84.9120      3.4570      NVSS
ABELL_1914                          3593          NF      0.1712      0.0025      0.0003      2.2393      0.2239      NVSS
ABELL_1991                          3193           F      0.0565      0.0390      0.0012      3.2545      0.1001      NVSS
ABELL_2034                          2204          NF      0.1130      0.0025      0.0003      0.9040      0.0904      NVSS
ABELL_2065                         31821          NF      0.0730      0.0025      0.0003      0.3567      0.0357      NVSS
ABELL_2069                          4965          NF      0.1160      0.0025      0.0003      0.9565      0.0957      NVSS
ABELL_2104                           895          NF      0.1554      0.0025      0.0003      1.8083      0.1808      NVSS
ABELL_2107                          4960          NF      0.0411      0.0025      0.0003      0.0787      0.0079      NVSS
ABELL_2151                          4996           F      0.0366      0.0024      0.0004      0.0595      0.0099      NVSS
ABELL_2163                          1653          NF      0.1695      0.0025      0.0003      2.1903      0.2190      NVSS
