#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
CL_J1226.9+3332                     3180           F      0.8900      0.0043      0.0005     22.3446      2.5982
CL_J1226.9+3332                     5014           F      0.8900      0.0043      0.0005     22.3446      2.5982
CL_J2302.8+0844                      918           F      0.7300      0.0252      0.0009     80.0511      2.8590
COMA                                 556          NF      0.0231      0.0025      0.0003      0.0039      0.0004
CYGNUS_A                             360          NF      0.0561      0.0025      0.0003      0.0241      0.0024
DLS_J0514-4904                      4980          OA      0.0912     -0.4440     -0.5550     -0.0000     -0.0000
ESO_3060170                         3189          OA      0.0358     -0.4440     -0.5550     -0.0000     -0.0000
ESO_5520200                         3206          NF      0.0314      0.0025      0.0003      0.0073      0.0007
EXO_0422-086                        4183           F      0.0397      0.1124      0.0034      0.5303      0.0160
HERCULES_A                          1625          NF      0.1541      0.0025      0.0003      0.2084      0.0208
HYDRA_A                             4970           F      0.0549     40.8499      1.2788    377.0010     11.8020
HYDRA_A                              576           F      0.0522     40.8499      1.2788    339.4732     10.6272
IRAS_09104+4109                      509           F      0.4420      0.0159      0.0009     14.8642      0.8414
LYNX_E                             17081          NF      0.5740      0.0025      0.0003      4.3977      0.4398
LYNX_E                              9271          NF      1.2600      0.0025      0.0003     30.9583      3.0958
MACS_J0011.7-1523                   3261           F      0.3600      0.0311      0.0015     17.8551      0.8612
MACS_J0011.7-1523                   6105           F      0.3600      0.0311      0.0015     17.8551      0.8612
MACS_J0025.4-1222                   3251          NF      0.5843      0.0025      0.0003      4.5929      0.4593
MACS_J0025.4-1222                   5010          NF      0.5843      0.0025      0.0003      4.5929      0.4593
MACS_J0035.4-2015                   3262          NF      0.3644      0.0025      0.0003      1.4770      0.1477
MACS_J0111.5+0855                   3256          NF      0.2627      0.0025      0.0003      0.6900      0.0690
MACS_J0152.5-2852                   3264          NF      0.3407      0.0025      0.0003      1.2609      0.1261
MACS_J0159.0-3412                   5818          NF      0.4584      0.0025      0.0003      2.5506      0.2551
MACS_J0159.8-0849                   3265           F      0.4050      0.0367      0.0012     27.8464      0.9105
MACS_J0159.8-0849                   6106           F      0.4050      0.0367      0.0012     27.8464      0.9105
MACS_J0242.5-2132                   3266           F      0.3140      1.2549      0.0377    523.0534     15.7137
MACS_J0257.1-2325                   1654          NF      0.5053      0.0025      0.0003      3.2259      0.3226
MACS_J0257.1-2325                   3581          NF      0.5053      0.0025      0.0003      3.2259      0.3226
MACS_J0257.6-2209                   3267          NF      0.3224      0.0025      0.0003      1.1082      0.1108
MACS_J0308.9+2645                   3268          NF      0.3240      0.0025      0.0003      1.1210      0.1121
MACS_J0329.6-0211                   3257           F      0.4500      0.0069      0.0006      6.7339      0.5856
MACS_J0329.6-0211                   3582           F      0.4500      0.0069      0.0006      6.7339      0.5856
MACS_J0329.6-0211                   6108           F      0.4500      0.0069      0.0006      6.7339      0.5856
MACS_J0417.5-1154                   3270           F      0.4400      0.0298      0.0017     27.5577      1.5721
MACS_J0429.6-0253                   3271           F      0.3990      0.1388      0.0042    101.6438      3.0757
MACS_J0455.2+0657                   5812          NF      0.4247      0.0025      0.0003      2.1243      0.2124
MACS_J0520.7-1328                   3272           F      0.3398      0.0930      0.0028     46.6173      1.4035
MACS_J0547.0-3904                   3273           F      0.2100      0.0314      0.0010      5.2108      0.1659
MACS_J0553.4-3342                   5813          NF      0.4067      0.0025      0.0003      1.9159      0.1916
MACS_J0717.5+3745                   1655          NF      0.5480      0.0025      0.0003      3.9279      0.3928
MACS_J0717.5+3745                   4200          NF      0.5480      0.0025      0.0003      3.9279      0.3928
MACS_J0744.8+3927                   3197          NF      0.6860      0.0025      0.0003      6.8111      0.6811
MACS_J0744.8+3927                   3585          NF      0.6860      0.0025      0.0003      6.8111      0.6811
MACS_J0744.8+3927                   6111          NF      0.6860      0.0025      0.0003      6.8111      0.6811
MACS_J0911.2+1746                   5012          NF      0.5409      0.0025      0.0003      3.8052      0.3805
MACS_J1006.9+3200                   5819          NF      0.3587      0.0025      0.0003      1.4231      0.1423
MACS_J1105.7-1014                   5817          NF      0.4664      0.0025      0.0003      2.6589      0.2659
MACS_J1108.8+0906                   3252          NF      0.4493      0.0025      0.0003      2.4307      0.2431
MACS_J1108.8+0906                   5009          NF      0.4493      0.0025      0.0003      2.4307      0.2431
MACS_J1115.2+5320                   3253          NF      0.4390      0.0025      0.0003      2.2993      0.2299
MACS_J1115.2+5320                   5008          NF      0.4390      0.0025      0.0003      2.2993      0.2299
MACS_J1115.2+5320                   5350          NF      0.4390      0.0025      0.0003      2.2993      0.2299
MACS_J1115.8+0129                   3275           F      0.1200      0.0162      0.0010      0.7830      0.0483
MACS_J1131.8-1955                   3276          NF      0.3070      0.0025      0.0003      0.9888      0.0989
MACS_J1149.5+2223                   1656          NF      0.1761      0.0025      0.0003      0.2799      0.0280
MACS_J1149.5+2223                   3589          NF      0.1761      0.0025      0.0003      0.2799      0.0280
MACS_J1206.2-0847                   3277           F      0.4400      0.1609      0.0063    148.7930      5.8260
MACS_J1311.0-0310                   3258          NF      0.4940      0.0025      0.0003      3.0542      0.3054
MACS_J1311.0-0310                   6110          NF      0.4940      0.0025      0.0003      3.0542      0.3054
MACS_J1427.2+4407                   6112           F      0.4771      0.0479      0.0018     53.8047      2.0219
MACS_J1621.3+3810                   3254           F      0.4650      0.0088      0.0005      9.2920      0.5280
MACS_J1621.3+3810                   3594           F      0.4610      0.0088      0.0005      9.1010      0.5171
MACS_J1621.3+3810                   6109           F      0.4610      0.0088      0.0005      9.1010      0.5171
MACS_J1621.3+3810                   6172           F      0.4610      0.0088      0.0005      9.1010      0.5171
MACS_J1731.6+2252                   3281           F      0.3661      0.0189      0.0011     11.2893      0.6570
MACS_J1931.8-2634                   3282          NF      0.3520      0.0025      0.0003      1.3614      0.1361
MACS_J2046.0-3430                   5816           F      0.4133      0.0081      0.0005      6.4501      0.3982
MACS_J2049.9-3217                   3283          NF      0.3254      0.0025      0.0003      1.1324      0.1132
MACS_J2211.7-0349                   3284          NF      0.2700      0.0025      0.0003      0.7348      0.0735
MACS_J2214.9-1359                   3259          NF      0.5026      0.0025      0.0003      3.1844      0.3184
MACS_J2214.9-1359                   5011          NF      0.5026      0.0025      0.0003      3.1844      0.3184
MACS_J2228+2036                     3285          NF      0.4120      0.0025      0.0003      1.9759      0.1976
MACS_J2229.7-2755                   3286           F      0.3240      0.0073      0.0005      3.2735      0.2242
MACS_J2243.3-0935                   3260          NF      0.1010      0.0025      0.0003      0.0834      0.0083
MACS_J2245.0+2637                   3287           F      0.3040      0.0058      0.0005      2.2422      0.1933
MKW3S                                900           F      0.0450      0.0113      0.0010      0.0690      0.0061
MKW_04                              3234          NF      0.0198      0.0025      0.0003      0.0028      0.0003
MS_0016.9+1609                       520          NF      0.5410      0.0025      0.0003      3.8069      0.3807
MS_0440.5+0204                      4196           F      0.1900      0.0406      0.0016      5.3833      0.2121
MS_0451.6-0305                       902          NF      0.5386      0.0025      0.0003      3.7660      0.3766
MS_0735.6+7421                      4197           F      0.2160      0.0211      0.0014      3.7310      0.2476
MS_0839.8+2938                      2224           F      0.1940      0.0247      0.0008      3.4312      0.1111
MS_0906.5+1110                       924          NF      0.1630      0.0025      0.0003      0.2359      0.0236
MS_1006.0+1202                       925           F      0.2210      0.0045      0.0006      0.8379      0.1117
MS_1008.1-1224                       926          NF      0.3010      0.0025      0.0003      0.9445      0.0944
MS_1054.5-0321                       512           F      0.8300      0.0141      0.0009     61.5854      3.9310
MS_1455.0+2232                      4192           F      0.2590      0.0165      0.0013      4.4083      0.3473
MS_1621.5+2640                       546           F      0.4260      0.0098      0.0005      8.3881      0.4280
MS_2053.7-0449                      1667          NF      0.5830      0.0025      0.0003      4.5680      0.4568
MS_2053.7-0449                       551          NF      0.5830      0.0025      0.0003      4.5680      0.4568
MS_2137.3-2353                      4974           F      0.3130      0.0038      0.0005      1.5722      0.2069
MS_J1157.3+5531                     4964          NF      0.0810      0.0025      0.0003      0.0522      0.0052
NGC_6338                            4194           F      0.0280      0.0570      0.0018      0.1314      0.0041
OPHIUCHUS                           3200           F      0.0280      0.0288      0.0010      0.0664      0.0023
PKS_0745-191                        2427           F      0.1028      2.3720      0.0837     82.1863      2.9001
PKS_0745-191                         508           F      0.1028      2.3720      0.0837     82.1863      2.9001
PKS_0745-191                        6103           F      0.1028      2.3720      0.0837     82.1863      2.9001
RBS_0797                            2202           F      0.3540      0.0217      0.0008     11.9751      0.4415
RX_J0232.2-4420                     4993          OA      0.2836     -0.4440     -0.5550     -0.0000     -0.0000
RX_J0340-4542                       6954          OA      0.0818     -0.4440     -0.5550     -0.0000     -0.0000
RX_J0439+0520                        527           F      0.2080      0.0815      0.0029     13.2367      0.4710
RX_J0439.0+0715                     1449          NF      0.2300      0.0025      0.0003      0.5095      0.0510
