# Model: wabs(mekal) for inner100 spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
ABELL_2065                 31821  0.000  1.200  2.96  0.00  0.00  4.89  4.69  5.10  0.45  0.37  0.54   5.13e-03   5.00e-03   5.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  0.0000  0.0000  0.688   96.9   1.07    265
ABELL_2069                  4965  0.000  0.800  1.97  0.00  0.00  6.42  5.55  7.57  0.45  0.18  0.74   4.74e-04   4.44e-04   5.08e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.0000  0.0000  0.061   87.7   1.24     96
ABELL_2104                   895  0.000  0.610 14.93  0.00  0.00  9.55  8.63 10.72  0.30  0.14  0.46   1.51e-03   1.46e-03   1.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.0000  0.0000  0.228   86.2   1.04    207
ABELL_2107                  4960  0.000  2.050  4.54  0.00  0.00  4.38  4.24  4.54  0.59  0.51  0.68   4.89e-03   4.77e-03   5.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0411  0.0000  0.0000  0.688   92.4   1.13    299
ABELL_2111                   544  0.000  0.450  2.20  0.00  0.00  7.04  4.81 12.34  0.34  0.00  1.64   4.55e-04   3.48e-04   5.18e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.0000  0.0000  0.052   93.4   1.33     18
ABELL_2124                  3238  0.000  1.320  1.71  0.00  0.00  4.85  4.44  5.30  0.57  0.38  0.79   1.48e-03   1.40e-03   1.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.0000  0.0000  0.314   71.7   0.89    149
ABELL_2125                  2207  0.000  0.430  2.75  0.00  0.00  3.87  3.18  4.66  0.66  0.15  1.49   9.46e-05   7.55e-05   1.17e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.0000  0.0000  0.010   80.1   1.01     26
ABELL_2147                  3211  0.000  2.350  3.38  0.00  0.00  4.13  3.89  4.39  0.31  0.20  0.43   3.99e-03   3.82e-03   4.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.0000  0.0000  0.540   90.1   1.23    191
ABELL_2151                  4996  0.000  2.290  3.46  0.00  0.00  2.35  2.26  2.45  0.63  0.53  0.74   5.50e-03   5.22e-03   5.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0366  0.0000  0.0000  0.753   87.7   1.17    190
ABELL_2163                  1653  0.000  0.570 12.04  0.00  0.00 17.64 15.77 19.91  0.15  0.00  0.30   2.87e-03   2.79e-03   2.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.0000  0.0000  0.288   98.4   1.05    312
ABELL_2199                   497  0.000  2.770  0.88  0.00  0.00  4.18  4.13  4.24  0.57  0.54  0.60   4.32e-02   4.28e-02   4.35e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.0000  0.0000 10.720   93.8   1.46    404
ABELL_2218                  1666  0.000  0.570  3.12  0.00  0.00  9.01  8.04 10.23  0.20  0.04  0.36   1.32e-03   1.27e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.0000  0.0000  0.153   97.6   1.00    163
ABELL_2219                   896  0.000  0.460  1.76  0.00  0.00 16.55 14.49 19.16  0.42  0.18  0.67   1.75e-03   1.69e-03   1.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.0000  0.0000  0.304   93.4   1.07    204
ABELL_2244                  4179  0.000  0.930  2.09  0.00  0.00  5.54  5.41  5.68  0.46  0.41  0.51   7.14e-03   7.05e-03   7.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.0000  0.0000  1.339   94.5   1.07    369
ABELL_2255                   894  0.000  1.100  2.53  0.00  0.00  8.01  7.09  9.16  0.29  0.07  0.52   1.04e-03   9.98e-04   1.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.0000  0.0000  0.147   88.2   1.00    157
ABELL_2256                  1386  0.000  1.480  4.05  0.00  0.00  6.12  5.60  6.72  0.53  0.30  0.79   3.91e-03   3.70e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  0.0000  0.0000  0.615   89.3   1.36    174
ABELL_2259                  3245  0.000  0.590  3.70  0.00  0.00  5.31  4.62  6.25  0.35  0.10  0.63   1.54e-03   1.42e-03   1.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.0000  0.0000  0.169   97.5   0.92     54
ABELL_2261                  5007  0.000  0.460  3.31  0.00  0.00  7.45  6.86  8.18  0.52  0.38  0.67   3.01e-03   2.91e-03   3.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.0000  0.0000  0.321   99.2   1.15    176
ABELL_2294                  3246  0.000  0.550  6.10  0.00  0.00  8.63  7.05 11.26  1.07  0.53  1.68   1.19e-03   1.07e-03   1.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.0000  0.0000  0.148   97.3   1.30     50
ABELL_2319                  3231  0.000  1.530  9.05  0.00  0.00  9.25  8.65  9.93  0.64  0.50  0.78   9.97e-03   9.72e-03   1.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  0.0000  0.0000  1.363   98.2   1.12    299
ABELL_2384                  4202  0.000  0.950  2.99  0.00  0.00  3.21  3.07  3.35  0.46  0.38  0.56   2.72e-03   2.62e-03   2.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.0000  0.0000  0.334   97.0   1.46    179
ABELL_2390                  4193  0.000  0.450  6.71  0.00  0.00  8.06  7.80  8.34  0.47  0.41  0.53   4.30e-03   4.24e-03   4.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.0000  0.0000  0.623   97.2   1.19    357
ABELL_2409                  3247  0.000  0.640  6.72  0.00  0.00  5.50  4.90  6.24  0.62  0.35  0.92   2.00e-03   1.85e-03   2.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.0000  0.0000  0.230   97.9   1.03     73
ABELL_2420                  8271  0.000  1.050  3.76  0.00  0.00  9.94  8.14 12.55  0.56  0.14  1.02   2.48e-03   2.30e-03   2.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0846  0.0000  0.0000  0.335   94.0   1.10     83
ABELL_2462                  4159  0.000  1.190  3.30  0.00  0.00  3.30  3.05  3.59  0.65  0.49  0.88   6.72e-04   6.22e-04   7.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0737  0.0000  0.0000  0.139   60.0   1.00    139
ABELL_2537                  4962  0.000  0.380  4.26  0.00  0.00  8.98  7.93 10.32  0.78  0.50  1.07   8.22e-04   7.81e-04   8.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.0000  0.0000  0.121   88.9   0.98    128
ABELL_2554                  1696  0.000  0.830  2.04  0.00  0.00  6.36  5.63  7.27  0.36  0.13  0.61   1.09e-03   1.04e-03   1.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.0000  0.0000  0.209   79.3   0.99    122
ABELL_2556                  2226  0.000  1.030  2.02  0.00  0.00  3.20  3.09  3.31  0.53  0.46  0.61   5.03e-03   4.88e-03   5.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.0000  0.0000  1.006   92.6   0.96    203
ABELL_2589                  3210  0.000  2.030  3.98  0.00  0.00  3.70  3.39  4.04  0.81  0.59  1.08   7.15e-03   6.64e-03   7.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.0000  0.0000  1.629   82.0   1.36    117
ABELL_2597                   922  0.000  1.040  2.51  0.00  0.00  3.37  3.30  3.45  0.43  0.39  0.47   1.50e-02   1.48e-02   1.53e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  0.0000  0.0000  3.129   97.4   1.25    287
ABELL_2626                  3192  0.000  1.500  4.30  0.00  0.00  3.01  2.93  3.10  0.59  0.52  0.66   5.54e-03   5.39e-03   5.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.0000  0.0000  1.097   85.5   1.16    240
ABELL_2631                  3248  0.000  0.390  3.74  0.00  0.00  6.78  4.99 11.25  1.13  0.32  2.32   4.69e-04   3.72e-04   5.55e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.0000  0.0000  0.050   95.9   0.34     14
ABELL_2657                  4941  0.000  2.090  5.66  0.00  0.00  3.90  3.74  4.06  0.68  0.56  0.80   5.51e-03   5.31e-03   5.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0402  0.0000  0.0000  0.780   93.4   1.09    216
ABELL_2667                  2214  0.000  0.450  1.64  0.00  0.00  4.86  4.55  5.20  0.52  0.38  0.68   4.50e-03   4.31e-03   4.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.0000  0.0000  0.772   97.9   1.01    146
