#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
CL_J0030+2618             1190_1226_5762  0.5000    2.09E-05    0.00E+00   -0.00E+00      30.980      -0.000       0.352      -0.000    2.57E-05    3.68E-06      64.239      11.347       0.387       0.010     35.37   28    1.59E-01
CL_J1226.9+3332            5014_3180_932  0.8900    3.89E-05    3.77E-05    2.75E-06     107.118      19.787       0.753       0.142    2.83E-06    1.15E-06     399.464      52.508       1.000       0.000     24.96   21    2.49E-01
COMA                                 556  0.0231    4.32E-05    4.75E-05    3.41E-07     276.505       4.824       1.000       0.000    0.00E+00    0.00E+00       2.970       0.000       0.974       0.000    106.91   46    9.36E-07
CYGNUS_A                             360  0.0561    7.58E-04    7.93E-04    7.78E-06      23.306       0.266       0.564       0.002    0.00E+00    0.00E+00       2.869       0.000       0.434       0.000   1659.11   24    0.00E+00
ESO_3060170                    3188_3189  0.0358    2.25E-04    2.59E-05    8.20E-07      37.211       1.325       0.501       0.005    2.44E-04    1.49E-05       6.234       0.238       1.000       0.000    145.83   69    1.97E-07
ESO_5520200                         3206  0.0314    6.23E-05    1.95E-05    1.44E-06      13.222       1.143       0.394       0.004    0.00E+00    0.00E+00       0.000       0.000       0.220       0.000    142.18   65    1.09E-07
EXO_0422-086                        4183  0.0397    4.65E-04    3.06E-05    6.34E-06      62.663       6.420       0.594       0.011    4.27E-04    2.44E-05      11.966       1.721       0.711       0.101     94.05   90    3.64E-01
HCG_0062                             921  0.0146    3.47E-04    2.15E-04    9.08E-06       5.123       0.166       0.529       0.003    1.95E-04    2.12E-05       1.805       0.266       1.000       0.000    506.14   43    0.00E+00
HCG_42                              3215  0.0133    1.34E-04    3.87E-05    2.65E-06       9.849       0.619       0.779       0.025    1.24E-04    1.39E-05       2.405       0.205       1.000       0.000    102.51   33    4.76E-09
HERCULES_A                          1625  0.1541    5.24E-04    8.48E-05    2.63E-06     160.678       8.436       0.937       0.042    6.17E-04    4.13E-05      16.840       0.809       1.000       0.000    150.29   23    0.00E+00
