#Name                             Obsid  type       z          flux           err         power           err           lum           err      surv
# --                                 --    --      --            Jy            Jy      10^40e/s      10^40e/s      10^40e/s      10^40e/s        --
MACS_J1108.8+0906                  3252    NF  0.4493       0.00250       0.00025       2.64355       0.26436      16.42863       1.64286      NVSS
MACS_J1108.8+0906                  5009    NF  0.4493       0.00250       0.00025       2.64355       0.26436      16.42863       1.64286      NVSS
MACS_J1115.2+5320                  3253    NF  0.4390       0.00250       0.00025       2.50063       0.25006      15.54045       1.55404      NVSS
MACS_J1115.2+5320                  5008    NF  0.4390       0.00250       0.00025       2.50063       0.25006      15.54045       1.55404      NVSS
MACS_J1115.2+5320                  5350    NF  0.4390       0.00250       0.00025       2.50063       0.25006      15.54045       1.55404      NVSS
MACS_J1115.8+0129                  3275     F  0.1200       0.01620       0.00100       0.85157       0.05257       5.29215       0.32668      NVSS
MACS_J1131.8-1955                  3276    NF  0.3070       0.00250       0.00025       1.07535       0.10753       6.68286       0.66829      NVSS
MACS_J1149.5+2223                  1656    NF  0.1761       0.00250       0.00025       0.30440       0.03044       1.89171       0.18917      NVSS
MACS_J1149.5+2223                  3589    NF  0.1761       0.00250       0.00025       0.30440       0.03044       1.89171       0.18917      NVSS
MACS_J1206.2-0847                  3277     F  0.4400       0.16090       0.00630     161.81994       6.33602    1005.64750      39.37588      NVSS
MACS_J1311.0-0310                  3258    NF  0.4940       0.00250       0.00025       3.32163       0.33216      20.64262       2.06426      NVSS
MACS_J1311.0-0310                  6110    NF  0.4940       0.00250       0.00025       3.32163       0.33216      20.64262       2.06426      NVSS
MACS_J1427.2+4407                  6112     F  0.4771       0.04790       0.00180      58.51534       2.19891     363.64990      13.66534      NVSS
MACS_J1621.3+3810                  3254     F  0.4650       0.00880       0.00050      10.10552       0.57418      62.80182       3.56829      NVSS
MACS_J1621.3+3810                  3594     F  0.4610       0.00880       0.00050       9.89777       0.56237      61.51079       3.49493      NVSS
MACS_J1621.3+3810                  6109     F  0.4610       0.00880       0.00050       9.89777       0.56237      61.51079       3.49493      NVSS
MACS_J1621.3+3810                  6172     F  0.4610       0.00880       0.00050       9.89777       0.56237      61.51079       3.49493      NVSS
MACS_J1731.6+2252                  3281     F  0.3661       0.01890       0.00110      12.27770       0.71458      76.30109       4.44080      NVSS
MACS_J1931.8-2634                  3282    NF  0.3520       0.00250       0.00025       1.48054       0.14805       9.20100       0.92010      NVSS
MACS_J2046.0-3430                  5816     F  0.4133       0.00810       0.00050       7.01479       0.43301      43.59415       2.69100      NVSS
MACS_J2049.9-3217                  3283    NF  0.3254       0.00250       0.00025       1.23154       0.12315       7.65351       0.76535      NVSS
MACS_J2211.7-0349                  3284    NF  0.2700       0.00250       0.00025       0.79915       0.07992       4.96643       0.49664      NVSS
MACS_J2214.9-1359                  3259    NF  0.5026       0.00250       0.00025       3.46315       0.34632      21.52214       2.15221      NVSS
MACS_J2214.9-1359                  5011    NF  0.5026       0.00250       0.00025       3.46315       0.34632      21.52214       2.15221      NVSS
MACS_J2228+2036                    3285    NF  0.4120       0.00250       0.00025       2.14887       0.21489      13.35437       1.33544      NVSS
MACS_J2229.7-2755                  3286     F  0.3240       0.00730       0.00050       3.56006       0.24384      22.12436       1.51537      NVSS
MACS_J2243.3-0935                  3260    NF  0.1010       0.00250       0.00025       0.09071       0.00907       0.56372       0.05637      NVSS
MACS_J2245.0+2637                  3287     F  0.3040       0.00580       0.00050       2.43853       0.21022      15.15452       1.30642      NVSS
MKW3S                               900     F  0.0450       0.01130       0.00100       0.07509       0.00664      35.60086       3.15052      NVSS
MKW_04                             3234    NF  0.0198       0.00250       0.00025       0.00310       0.00031       0.01923       0.00192      NVSS
MS_0016.9+1609                      520    NF  0.5410       0.00250       0.00025       4.14021       0.41402      25.72981       2.57298      NVSS
MS_0440.5+0204                     4196     F  0.1900       0.04060       0.00160       5.85458       0.23072      36.38390       1.43385      NVSS
MS_0451.6-0305                      902    NF  0.5386       0.00250       0.00025       4.09570       0.40957      25.45318       2.54532      NVSS
MS_0735.6+7421                     4197     F  0.2160       0.02110       0.00140       4.05770       0.26923      25.21704       1.67317      NVSS
MS_0839.8+2938                     2224     F  0.1940       0.02470       0.00080       3.73155       0.12086      23.19015       0.75110      NVSS
MS_0906.5+1110                      924    NF  0.1630       0.00250       0.00025       0.25652       0.02565       1.59417       0.15942      NVSS
MS_1006.0+1202                      925     F  0.2210       0.00450       0.00060       0.91129       0.12150       5.66329       0.75511      NVSS
MS_1008.1-1224                      926    NF  0.3010       0.00250       0.00025       1.02717       0.10272       6.38347       0.63835      NVSS
MS_1054.5-0321                      512     F  0.8300       0.01410       0.00090      66.97722       4.27514     416.23716      26.56833      NVSS
MS_1455.0+2232                     4192     F  0.2590       0.01650       0.00130       4.79428       0.37773      29.79455       2.34745      NVSS
MS_1621.5+2640                      546     F  0.4260       0.00980       0.00050       9.12252       0.46543      56.69286       2.89249      NVSS
MS_2053.7-0449                     1667    NF  0.5830       0.00250       0.00025       4.96795       0.49679      30.87384       3.08738      NVSS
MS_2053.7-0449                      551    NF  0.5830       0.00250       0.00025       4.96795       0.49679      30.87384       3.08738      NVSS
MS_2137.3-2353                     4974     F  0.3130       0.00380       0.00050       1.70980       0.22497      10.62572       1.39812      NVSS
MS_J1157.3+5531                    4964    NF  0.0810       0.00250       0.00025       0.05673       0.00567       0.35254       0.03525      NVSS
NGC_6338                           4194     F  0.0280       0.05700       0.00180       0.14292       0.00451       0.88817       0.02805      NVSS
OPHIUCHUS                          3200     F  0.0280       0.02880       0.00100       0.07221       0.00251       0.44876       0.01558      NVSS
PKS_0745-191                       2427     F  0.1028       2.37200       0.08370      89.38184       3.15399     555.47309      19.60080      NVSS
PKS_0745-191                        508     F  0.1028       2.37200       0.08370      89.38184       3.15399     555.47309      19.60080      NVSS
PKS_0745-191                       6103     F  0.1028       2.37200       0.08370      89.38184       3.15399     555.47309      19.60080      NVSS
RBS_0797                           2202     F  0.3540       0.02170       0.00080      13.02351       0.48013      80.93599       2.98382      NVSS
RX_J0439+0520                       527     F  0.2080       0.08150       0.00290      14.39563       0.51224      89.46322       3.18335      NVSS
RX_J0439.0+0715                    1449    NF  0.2300       0.00250       0.00025       0.55416       0.05542       3.44388       0.34439      NVSS
RX_J0439.0+0715                    3583    NF  0.2300       0.00250       0.00025       0.55416       0.05542       3.44388       0.34439      NVSS
RX_J0528.9-3927                    4994     F  0.2632       0.00470       0.00060       1.41694       0.18089       8.80571       1.12413      NVSS
RX_J0647.7+7015                    3196    NF  0.5840       0.00250       0.00025       4.98880       0.49888      31.00341       3.10034      NVSS
RX_J0647.7+7015                    3584    NF  0.5840       0.00250       0.00025       4.98880       0.49888      31.00341       3.10034      NVSS
RX_J0819.6+6336                    2199     F  0.1190       0.03440       0.00140       1.77585       0.07227      11.03624       0.44915      NVSS
RX_J1347.5-1145                    3592     F  0.4510       0.04590       0.00150      48.97733       1.60057     304.37489       9.94689      NVSS
RX_J1347.5-1145                     507     F  0.4510       0.04590       0.00150      48.97733       1.60057     304.37489       9.94689      NVSS
RX_J1423.8+2404                    1657     F  0.5450       0.00800       0.00110      13.48820       1.85463      83.82388      11.52578      NVSS
RX_J1423.8+2404                    4195     F  0.5450       0.00800       0.00110      13.48820       1.85463      83.82388      11.52578      NVSS
RX_J1504.1-0248                    5793     F  0.2150       0.06050       0.00250      11.51349       0.47576      71.55184       2.95669      NVSS
RX_J1532.9+3021                    1649     F  0.3450       0.02280       0.00080      12.88015       0.45194      80.04509       2.80860      NVSS
RX_J1532.9+3021                    1665     F  0.3450       0.02280       0.00080      12.88015       0.45194      80.04509       2.80860      NVSS
