#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s
MACS_J1115.2+5320                   3253          NF      0.4390      0.0007      0.0002      4.3513      0.9573
MACS_J1115.2+5320                   5008          NF      0.4390      0.0007      0.0002      4.3513      0.9573
MACS_J1115.2+5320                   5350          NF      0.4390      0.0007      0.0002      4.3513      0.9573
MACS_J1115.8+0129                   3275           F      0.1200      0.0006      0.0001      0.1927      0.0477
MACS_J1131.8-1955                   3276          OA      0.3070      0.0000     -0.0010     -0.0000     -0.0000
MACS_J1149.5+2223                   1656          NF      0.5440      0.0007      0.0001      7.3019      1.5438
MACS_J1149.5+2223                   3589          NF      0.5440      0.0007      0.0001      7.3019      1.5438
MACS_J1206.2-0847                   3277          OA      0.4400      0.0000     -0.0010     -0.0000     -0.0000
MACS_J1311.0-0310                   3258          NF      0.4940      0.0007      0.0001      5.7799      1.2138
MACS_J1311.0-0310                   6110          NF      0.4940      0.0007      0.0001      5.7799      1.2138
MACS_J1621.3+3810                   3254          NF      0.4610      0.0007      0.0001      4.8929      0.9576
MACS_J1621.3+3810                   3594          NF      0.4610      0.0007      0.0001      4.8929      0.9576
MACS_J1621.3+3810                   6109          NF      0.4610      0.0007      0.0001      4.8929      0.9576
MACS_J1621.3+3810                   6172          NF      0.4610      0.0007      0.0001      4.8929      0.9576
MACS_J1931.8-2634                   3282          OA      0.3520      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2049.9-3217                   3283          OA      0.3254      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2211.7-0349                   3284          OA      0.2700      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2214.9-1359                   3259          OA      0.5026      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2214.9-1359                   5011          OA      0.5026      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2228+2036                     3285          OA      0.4120      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2229.7-2755                   3286          OA      0.3240      0.0000     -0.0010     -0.0000     -0.0000
MACS_J2243.3-0935                   3260          NF      0.1010      0.0007      0.0002      0.1578      0.0345
MACS_J2245.0+2637                   3287          OA      0.3040      0.0000     -0.0010     -0.0000     -0.0000
MKW3S                                900           F      0.0450      0.0077      0.0002     24.1015      0.4757
MKW_04                              3234          NF      0.0198      0.0007      0.0001      0.0054      0.0010
MS_0016.9+1609                       520          OA      0.5410      0.0000     -0.0010     -0.0000     -0.0000
MS_0735.6+7421                      4197          OA      0.2160      0.0000     -0.0010     -0.0000     -0.0000
MS_0839.8+2938                      2224           F      0.1940      0.0219      0.0001     20.5707      0.1399
MS_0906.5+1110                       924          NF      0.1630      0.0007      0.0001      0.4464      0.0861
MS_1006.0+1202                       925          NF      0.2210      0.0007      0.0001      0.8810      0.1686
MS_1008.1-1224                       926          OA      0.3010      0.0000     -0.0010     -0.0000     -0.0000
MS_1455.0+2232                      4192           F      0.2590      0.0056      0.0001     10.1482      0.2438
MS_2137.3-2353                      4974          OA      0.3130      0.0000     -0.0010     -0.0000     -0.0000
MS_J1157.3+5531                     4964          NF      0.0810      0.0007      0.0001      0.0987      0.0207
OPHIUCHUS                           3200          OA      0.0280      0.0000     -0.0010     -0.0000     -0.0000
PKS_0745-191                        2427          OA      0.1028      0.0000     -0.0010     -0.0000     -0.0000
PKS_0745-191                         508          OA      0.1028      0.0000     -0.0010     -0.0000     -0.0000
PKS_0745-191                        6103          OA      0.1028      0.0000     -0.0010     -0.0000     -0.0000
RBS_0461                            4182          OA      0.0290      0.0000     -0.0010     -0.0000     -0.0000
RBS_0533                            3186          OA      0.0123      0.0000     -0.0010     -0.0000     -0.0000
RBS_0533                            3187          OA      0.0123      0.0000     -0.0010     -0.0000     -0.0000
RBS_0533                            5800          OA      0.0123      0.0000     -0.0010     -0.0000     -0.0000
RBS_0533                            5801          OA      0.0123      0.0000     -0.0010     -0.0000     -0.0000
RBS_0797                            2202          OA      0.3540      0.0000     -0.0010     -0.0000     -0.0000
RX_J0232.2-4420                     4993          OA      0.2836      0.0000     -0.0010     -0.0000     -0.0000
RX_J0439.0+0715                     1449          OA      0.2300      0.0000     -0.0010     -0.0000     -0.0000
RX_J0439.0+0715                     3583          OA      0.2300      0.0000     -0.0010     -0.0000     -0.0000
RX_J0528.9-3927                     4994          OA      0.2632      0.0000     -0.0010     -0.0000     -0.0000
RX_J0647.7+7015                     3196          OA      0.5840      0.0000     -0.0010     -0.0000     -0.0000
RX_J0647.7+7015                     3584          OA      0.5840      0.0000     -0.0010     -0.0000     -0.0000
RX_J1347.5-1145                     3592          OA      0.4510      0.0000     -0.0010     -0.0000     -0.0000
RX_J1347.5-1145                      507          OA      0.4510      0.0000     -0.0010     -0.0000     -0.0000
RX_J1423.8+2404                     1657           F      0.5450      0.0052      0.0001     54.6951      1.5612
RX_J1423.8+2404                     4195           F      0.5450      0.0052      0.0001     54.6951      1.5612
RX_J1504.1-0248                     5793           F      0.2150      0.0408      0.0001     48.2886      0.1679
RX_J1532.9+3021                     1649           F      0.3450      0.0171      0.0001     60.0689      0.4740
RX_J1532.9+3021                     1665           F      0.3450      0.0171      0.0001     60.0689      0.4740
RX_J1720.1+2638                     4361           F      0.1640      0.0446      0.0001     28.8073      0.0950
RX_J1720.2+3536                     3280           F      0.3913      0.0168      0.0002     79.1548      1.1294
RX_J1720.2+3536                     6107           F      0.3913      0.0168      0.0002     79.1548      1.1294
RX_J1720.2+3536                     7225           F      0.3913      0.0168      0.0002     79.1548      1.1294
RX_J2129.6+0005                      552           F      0.2350      0.0238      0.0001     34.4549      0.2097
S0463                               6956          OA      0.0986      0.0000     -0.0010     -0.0000     -0.0000
S0463                               7250          OA      0.0986      0.0000     -0.0010     -0.0000     -0.0000
SC_1327-312                         4165          OA      0.0531      0.0000     -0.0010     -0.0000     -0.0000
SDSS_J198.070267-00.98443           4990           F      0.0848      0.0013      0.0001      0.2051      0.0224
SERSIC_159-03                       1668          OA      0.0580      0.0000     -0.0010     -0.0000     -0.0000
SS2B153                             3243          OA      0.0186      0.0000     -0.0010     -0.0000     -0.0000
ZWCL_1215                           4184          NF      0.0750      0.0007      0.0002      0.0839      0.0268
ZWCL_1953                           1659           F      0.3800      0.0045      0.0001     19.9272      0.6437
ZWCL_3146                            909           F      0.2900      0.0020      0.0002      4.7785      0.3537
ZWCL_7160                            543           F      0.2578      0.0056      0.0001     10.0408      0.2412
ZWICKY_2701                         3195           F      0.2100      0.0137      0.0001     15.3659      0.1492
3C_129                              2218          OA      0.0223      0.0000     -0.0010     -0.0000     -0.0000
3C_129                              2219          OA      0.0223      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0400                          4181          OA      0.0240      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0426                          3209          OA      0.0179      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0426                          4289          OA      0.0179      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0539                          5808          OA      0.0288      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0539                          7209          OA      0.0288      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0562                          6936          OA      0.1100      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0744                          6947           F      0.0729      0.0015      0.0002      0.1637      0.0176
ABELL_3395                          4944          OA      0.0510      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3581                          1650          OA      0.0218      0.0000     -0.0010     -0.0000     -0.0000
HCG_0062                             921          OA      0.0146      0.0000     -0.0010     -0.0000     -0.0000
HCG_42                              3215          OA      0.0133      0.0000     -0.0010     -0.0000     -0.0000
RX_J1022.1+3830                     6942          NF      0.0491      0.0007      0.0001      0.0346      0.0072
SC_1327-312                         4165          OA      0.0531      0.0000     -0.0010     -0.0000     -0.0000
SS2B153                             3243          OA      0.0186      0.0000     -0.0010     -0.0000     -0.0000
UGC_03957                           8265           F      0.0341      0.0231      0.0001      0.5388      0.0034
ZwCl_0857.9+2107                    7897           F      0.2350      0.0086      0.0001     12.3963      0.2126
ABELL_0193                          6931          OA      0.0485      0.0000     -0.0010     -0.0000     -0.0000
ABELL_1240                          4961          NF      0.1590      0.0007      0.0001      0.4226      0.0893
ABELL_1569                          6100          NF      0.0735      0.0007      0.0004      0.0804      0.0507
RX_J1000.4+4409                     9421           F      0.1540      0.0050      0.0001      2.8134      0.0788
