#Cluster                   Obsid     IDOF_K0   ICHISQ_K0    IPVAL_K0   IDOF_PLAW ICHISQ_PLAW  IPVAL_PLAW     FDOF_K0   FCHISQ_K0    FPVAL_K0   FDOF_PLAW FCHISQ_PLAW  FPVAL_PLAW
ABELL_1835                   495          13       8.461  8.1230E-01          14      26.285  2.3812E-02          13       8.758  7.9093E-01          14      28.258  1.3148E-02
ABELL_1914                  3593          26       3.907  1.0000E+00          27       9.944  9.9886E-01          26       4.422  1.0000E+00          27      21.844  7.4527E-01
ABELL_1942                  3290           9       1.212  9.9877E-01          10       1.807  9.9761E-01           9       1.212  9.9877E-01          10       1.807  9.9761E-01
ABELL_1991                  3193          16      31.460  1.1749E-02          17      31.467  1.7513E-02          16      43.788  2.1244E-04          17      64.001  2.2643E-07
ABELL_1995                  7021          23       0.986  1.0000E+00          24       9.744  9.9552E-01          23       0.986  1.0000E+00          24       9.744  9.9552E-01
ABELL_2034                  2204          64      11.627  1.0000E+00          65      31.580  9.9985E-01          64      10.874  1.0000E+00          65      35.484  9.9894E-01
ABELL_2065                 31821          26       7.990  9.9973E-01          27      21.359  7.6918E-01          26       7.975  9.9973E-01          27      29.460  3.3896E-01
ABELL_2069                  4965          36       5.746  1.0000E+00          37      15.089  9.9947E-01          36       5.709  1.0000E+00          37      16.522  9.9854E-01
ABELL_2104                   895           6       0.642  9.9565E-01           7       2.218  9.4678E-01           6       0.740  9.9358E-01           7       3.388  8.4694E-01
ABELL_2107                  4960           3      13.105  4.4158E-03           4      40.078  4.1711E-08           3      15.789  1.2528E-03           4      43.048  1.0116E-08
ABELL_2111                   544          19       1.055  1.0000E+00          20       1.537  1.0000E+00          19       1.055  1.0000E+00          20       1.537  1.0000E+00
ABELL_2124                  3238          16       2.862  9.9988E-01          17       7.200  9.8081E-01          16       3.244  9.9971E-01          17       7.778  9.7107E-01
ABELL_2125                  2207           7       0.060  1.0000E+00           8       1.062  9.9783E-01           7       0.060  1.0000E+00           8       1.062  9.9783E-01
ABELL_2147                  3211          54      31.129  9.9469E-01          55      35.256  9.8238E-01          54      31.129  9.9469E-01          55      35.256  9.8238E-01
ABELL_2151                  4996          17      36.837  3.5407E-03          18      37.113  5.0650E-03          17      36.909  3.4625E-03          18      36.919  5.3695E-03
ABELL_2163                  1653          39       7.078  1.0000E+00          40      20.091  9.9637E-01          39       7.077  1.0000E+00          40      20.172  9.9621E-01
ABELL_2199                   497           4       3.720  4.4524E-01           5      35.067  1.4589E-06           4      11.086  2.5620E-02           5      45.172  1.3386E-08
ABELL_2218                  1666          39       4.832  1.0000E+00          40      39.777  4.8020E-01          39       4.832  1.0000E+00          40      39.777  4.8020E-01
ABELL_2219                   896          31       3.701  1.0000E+00          32      19.623  9.5750E-01          31       3.701  1.0000E+00          32      19.623  9.5750E-01
ABELL_2244                  4179          31      14.024  9.9620E-01          32     102.674  2.4553E-09          31      14.024  9.9620E-01          32     102.674  2.4553E-09
ABELL_2255                   894          37       0.240  1.0000E+00          38       2.789  1.0000E+00          37       0.240  1.0000E+00          38       2.789  1.0000E+00
ABELL_2256                  1386          60       2.237  1.0000E+00          61      21.604  1.0000E+00          60       2.237  1.0000E+00          61      21.604  1.0000E+00
ABELL_2259                  3245          33       1.373  1.0000E+00          34      15.767  9.9678E-01          33       1.373  1.0000E+00          34      15.767  9.9678E-01
ABELL_2261                  5007          15       3.631  9.9872E-01          16      28.616  2.6660E-02          15       3.625  9.9873E-01          16      28.995  2.3969E-02
ABELL_2294                  3246          19       0.603  1.0000E+00          20       3.667  9.9998E-01          19       0.834  1.0000E+00          20       4.230  9.9993E-01
ABELL_2319                  3231          71       9.828  1.0000E+00          72     212.751  7.8943E-16          71       9.828  1.0000E+00          72     212.751  7.8943E-16
ABELL_2384                  4202          20       7.543  9.9449E-01          21      29.613  1.0006E-01          20       7.853  9.9279E-01          21      87.317  4.6662E-10
ABELL_2390                  4193           8       0.959  9.9849E-01           9       4.711  8.5872E-01           8       0.959  9.9849E-01           9       4.711  8.5872E-01
ABELL_2409                  3247          13       8.791  7.8854E-01          14      15.233  3.6240E-01          13       9.062  7.6825E-01          14      15.825  3.2418E-01
ABELL_2462                  4159          55       1.235  1.0000E+00          56       7.727  1.0000E+00          55       1.235  1.0000E+00          56       7.727  1.0000E+00
ABELL_2537                  4962          11       1.051  9.9994E-01          12      12.699  3.9126E-01          11       1.054  9.9993E-01          12      13.231  3.5250E-01
ABELL_2554                  1696          27       0.871  1.0000E+00          28       1.984  1.0000E+00          27       0.871  1.0000E+00          28       1.984  1.0000E+00
ABELL_2556                  2226          14       4.272  9.9360E-01          15      44.305  9.8511E-05          14       4.501  9.9162E-01          15      57.127  7.8096E-07
ABELL_2589                  3210          22       1.060  1.0000E+00          23       1.600  1.0000E+00          22       1.060  1.0000E+00          23       1.600  1.0000E+00
ABELL_2597                   922           5       4.087  5.3690E-01           6      23.746  5.8144E-04           5       4.103  5.3466E-01           6      28.698  6.9396E-05
ABELL_2626                  3192          19      11.880  8.9069E-01          20      46.280  7.3772E-04          19      11.880  8.9069E-01          20      46.280  7.3772E-04
ABELL_2631                  3248          35       0.212  1.0000E+00          36      13.730  9.9971E-01          35       0.212  1.0000E+00          36      13.730  9.9971E-01
ABELL_2657                  4941          48       7.685  1.0000E+00          49      21.726  9.9974E-01          48       7.685  1.0000E+00          49      21.726  9.9974E-01
ABELL_2667                  2214           8       1.606  9.9080E-01           9       9.484  3.9386E-01           8       1.665  9.8963E-01           9      20.811  1.3517E-02
ABELL_2717                  6974          23       2.193  1.0000E+00          24       7.903  9.9917E-01          23       2.151  1.0000E+00          24       7.775  9.9928E-01
ABELL_2744          7915_8477_85          24       8.718  9.9814E-01          25      10.502  9.9506E-01          24       7.870  9.9920E-01          25      14.149  9.5907E-01
ABELL_2813                  9409          11       2.289  9.9720E-01          12       7.828  7.9840E-01          11       2.645  9.9464E-01          12       8.948  7.0740E-01
ABELL_3084                  9413          31       4.481  1.0000E+00          32      17.288  9.8410E-01          31       4.481  1.0000E+00          32      17.288  9.8410E-01
ABELL_3088                  9414           7       0.206  9.9997E-01           8       7.679  4.6543E-01           7       0.594  9.9902E-01           8      18.943  1.5167E-02
ABELL_3112                  2516          15       3.549  9.9888E-01          16      23.028  1.1299E-01          15       5.321  9.8904E-01          16      45.161  1.3112E-04
ABELL_3120                  6951          26       6.415  9.9997E-01          27      20.488  8.0965E-01          26       7.137  9.9991E-01          27      22.566  7.0808E-01
ABELL_3266                   899          12       0.793  1.0000E+00          13       2.021  9.9976E-01          12       1.260  9.9995E-01          13       2.344  9.9945E-01
ABELL_3391                  4943          72       3.593  1.0000E+00          73      24.886  1.0000E+00          72       3.593  1.0000E+00          73      24.886  1.0000E+00
ABELL_3395                  4944          21       0.003  1.0000E+00          22       5.729  9.9980E-01          21       0.011  1.0000E+00          22       4.493  9.9998E-01
ABELL_3528S                 8268          21      32.091  5.7323E-02          22      84.379  3.0425E-09          21      32.229  5.5492E-02          22     128.527  4.8158E-17
ABELL_3558                  1646          22       6.872  9.9912E-01          23      19.889  6.4862E-01          22       6.872  9.9912E-01          23      19.889  6.4862E-01
ABELL_3562                  4167          23      33.158  7.8350E-02          24      54.218  3.9857E-04          23      35.163  5.0105E-02          24      56.312  2.0778E-04
ABELL_3571                  4203          12       9.558  6.5472E-01          13      21.598  6.1913E-02          12       9.072  6.9675E-01          13      22.691  4.5541E-02
ABELL_3581                  1650          43      20.486  9.9858E-01          44      65.852  1.8042E-02          43      21.556  9.9742E-01          44     103.302  1.1285E-06
ABELL_3822                  8269          39       3.244  1.0000E+00          40       3.952  1.0000E+00          39       3.244  1.0000E+00          40       3.952  1.0000E+00
ABELL_3921                  4973          44       7.546  1.0000E+00          45      22.079  9.9839E-01          44       7.546  1.0000E+00          45      22.079  9.9839E-01
ABELL_4038                  4992          39      58.694  2.2227E-02          40     393.685  1.1464E-59          39      60.307  1.5854E-02          40     410.339  6.0673E-63
ABELL_4059                  5785          30      44.860  3.9778E-02          31      44.860  5.1300E-02          30      54.251  4.3104E-03          31      93.594  3.3510E-08
ABELL_S0405                 8272          31       8.243  9.9999E-01          32       9.158  9.9998E-01          31       9.793  9.9990E-01          32      10.098  9.9992E-01
ABELL_S0592                 9420          20       9.338  9.7865E-01          21      16.078  7.6525E-01          20       9.702  9.7325E-01          21      17.460  6.8286E-01
AC_114                      1562          17       3.688  9.9970E-01          18      16.935  5.2756E-01          17       3.688  9.9970E-01          18      16.935  5.2756E-01
AWM7                         908          10       7.305  6.9641E-01          11      20.907  3.4349E-02          10      13.187  2.1343E-01          11      32.845  5.5753E-04
CYGNUS_A                     360          16      28.493  2.7584E-02          17     294.719  1.3827E-52          16      22.482  1.2830E-01          17     340.489  4.6673E-62
EXO_0422-086                4183          16      10.997  8.0968E-01          17     112.484  4.1068E-16          16      11.236  7.9468E-01          17     157.519  8.1868E-25
ESO_5520200                 3206          31       0.154  1.0000E+00          32       5.573  1.0000E+00          31       0.518  1.0000E+00          32       4.146  1.0000E+00
HCG_0062                     921          24     153.170  8.5166E-21          25     660.626 2.4757E-123          24     138.498  4.3916E-18          25     751.594 1.9166E-142
HCG_42                      3215          19      44.376  8.3746E-04          20      60.867  5.2249E-06          19      45.283  6.2545E-04          20      62.241  3.1868E-06
MACS_J0035.4-2015           3262          26       0.701  1.0000E+00          27      11.717  9.9531E-01          26       0.998  1.0000E+00          27      20.408  8.1321E-01
MACS_J0242.5-2132           3266          19      11.728  8.9693E-01          20      29.517  7.8071E-02          19      11.837  8.9247E-01          20      34.368  2.3740E-02
MACS_J0257.6-2209           3267          14       1.000  1.0000E+00          15      18.104  2.5726E-01          14       1.007  1.0000E+00          15      18.254  2.4954E-01
MACS_J0308.9+2645           3268          27       0.860  1.0000E+00          28       7.881  9.9993E-01          27       0.860  1.0000E+00          28       7.881  9.9993E-01
