#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
ABELL_1991                                         3193    flat    0.00    0.10    19        0.09779        0.00796       10.82587        0.38231        1.49018        0.03098        0.62432    6.94820E-01
ABELL_1995                                         7021    flat    0.00    0.60    26       12.29051        2.22253        3.85672        2.00422        1.95187        0.41110        0.02549    1.00000E+00
ABELL_2034                                         2204    flat    0.00    0.50    67       10.64427        1.02369        4.26107        0.92992        1.58626        0.15624        0.29358    1.00000E+00
ABELL_2065                                        31821    flat    0.00    0.20    29        1.13006        0.27951       12.22353        0.60749        1.10974        0.09967        0.47226    9.65941E-01
ABELL_2069                                         4965    flat    0.00    0.40    39       30.17192        2.76714        5.47806        2.83889        1.61804        0.41309        0.22255    9.99998E-01
ABELL_2104                                          895    flat    0.00    0.12     9        5.12722        2.35966        8.47192        2.36359        0.88568        0.68246        0.25518    6.75110E-01
ABELL_2107                                         4960    flat    0.00    0.03     6        0.52588        0.07101       47.49232       10.47881        1.44161        0.12067        7.00306    0.00000E+00
ABELL_2111                                          544    flat    0.00    0.40    22        3.88948        3.08474       11.00781        4.47875        0.89796        0.32851        0.08960    9.99997E-01
ABELL_2124                                         3238    flat    0.00    0.12    19        3.23793        1.06173       22.17476        2.17544        0.93254        0.19895        0.20174    9.96980E-01
ABELL_2125                                         2207    flat    0.00    0.20    10       13.56938        2.37604        5.45875        3.24170        1.48844        0.90731        0.00689    9.99713E-01
ABELL_2147                                         3211    flat    0.00    0.20    57        8.29408        1.04715       13.76281        1.44809        0.87116        0.14586        0.68594    9.28617E-01
ABELL_2151                                         4996    flat    0.00    0.07    20        0.01153        0.06514       10.42183        0.65118        0.84158        0.05158        2.49760    1.04487E-04
ABELL_2163                                         1653    flat    0.00    0.60    42       13.84844        2.25487        2.35414        1.25608        2.15783        0.33904        0.12194    1.00000E+00
ABELL_2199                                          497    flat    0.00    0.02     7        0.27766        0.02480       17.96535        4.81863        1.49677        0.13831        1.98818    4.80151E-03
ABELL_2218                                         1666    flat    0.00    0.60    42        9.94629        0.93424        1.60423        0.53512        2.21010        0.23363        0.15273    1.00000E+00
ABELL_2219                                          896    flat    0.00    0.60    34        8.40092        1.27822        2.73887        1.02551        1.55787        0.23290        0.06123    1.00000E+00
ABELL_2244                                         4179    flat    0.00    0.30    34        1.64744        0.12898        6.17470        0.23262        1.30057        0.04691        0.86165    5.34018E-01
ABELL_2255                                          894    flat    0.00    0.30    40       28.84003        2.20941        2.33811        2.11848        1.75492        0.82244        0.02614    1.00000E+00
ABELL_2256                                         1386    flat    0.00    0.35    63       18.25556        0.76030        1.07733        0.68841        2.16130        0.56515        0.01640    1.00000E+00
ABELL_2259                                         3245    flat    0.00    0.50    36        4.88923        0.94252        3.47923        1.04169        1.74466        0.23784        0.05050    1.00000E+00
ABELL_2261                                         5007    flat    0.00    0.30    18        1.25926        0.17366        4.66590        0.42729        1.45619        0.13086        0.38559    9.26581E-01
ABELL_2294                                         3246    flat    0.00    0.32    22        3.72354        1.31564       11.96457        2.37712        1.16511        0.24456        0.06449    1.00000E+00
ABELL_2319                                         3231    flat    0.00    0.40    74        8.49129        0.34164        3.55944        0.42977        1.59446        0.10189        0.06351    1.00000E+00
ABELL_2384                                         4202    flat    0.00    0.20    23        1.29892        0.22306       11.96518        0.67969        1.55497        0.11445        0.44889    9.40955E-01
ABELL_2390                                         4193    flat    0.00    0.20    11        0.39955        0.08841        5.88359        0.39883        1.38012        0.12834        0.14751    9.46772E-01
ABELL_2409                                         3247    flat    0.00    0.20    16        2.14926        0.58909        6.64048        0.94190        1.17548        0.25996        1.27909    8.30060E-02
ABELL_2462                                         4159    flat    0.00    0.40    58        7.55746        1.61977       11.28182        2.20783        1.17479        0.16603        0.02378    1.00000E+00
ABELL_2537                                         4962    flat    0.00    0.30    14        2.64619        0.44773        6.13181        0.87433        1.51730        0.19910        0.13865    9.92282E-01
ABELL_2554                                         1696    flat    0.00    0.30    30        5.88729        2.25758       18.28422        3.41559        1.09068        0.22630        0.12118    1.00000E+00
ABELL_2556                                         2226    flat    0.00    0.13    17        0.27266        0.02928        7.31764        0.28227        1.38094        0.05565        0.57367    7.10491E-01
ABELL_2589                                         3210    flat    0.00    0.10    25        1.79454        1.39115        8.19070        1.49964        0.83893        0.44471        0.05414    1.00000E+00
ABELL_2597                                          922    flat    0.00    0.06     8        0.28294        0.03108        4.34816        0.67738        1.55985        0.17330        0.95413    9.20582E-02
ABELL_2626                                         3192    flat    0.00    0.12    22        0.70381        0.09534       11.79509        0.61380        1.34281        0.07815        0.31484    9.88289E-01
ABELL_2631                                         3248    flat    0.00    0.80    38       11.71786        1.25065        1.19213        0.57929        2.05087        0.28165        0.00247    1.00000E+00
ABELL_2657                                         4941    flat    0.00    0.20    51        2.53656        0.50097       12.48547        0.87294        1.28151        0.12622        0.20673    1.00000E+00
