#Cluster                Obsid             RA            Dec    Maj    Min  Theta       Flux      Flerr    Found	         z	type	notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s      "      "   deg.        mJy        mJy      ---        ---	----	----
CL_1221+4918             1662    12:21:27.35    +49:18:26.7   61.2   21.1  -61.6      28.40       1.40        F	    0.7000	bcg	elong xrp
CL_J0152-1357             913    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.8310	na	na
CL_J0542.8-4100           914    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.6300	na	na
CL_J0848+4456             927    08:48:49.27    +44:55:53.8   45.2   34.1    0.0       5.10       0.40        F	    0.5740	bcg	psxrp
CL_J1113.1-2615           915    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.7300	na	na
CL_J1213+0253            4934    12:13:30.30    +02:56:23.0   75.4   48.6    0.0       3.10       0.50        F	    0.4090	none	none
CL_J1641+4001            3575    16:41:53.75    +40:00:32.0   40.5   37.2    0.0       4.70       0.40        F	    0.4640	none	none
CL_J2302.8+0844           918    23:02:48.10    +08:43:50.8   21.2   16.7    0.0      25.20       0.90        F	    0.7300	bcg	psxrp
CYGNUS_A                  360    19:59:24.03    +40:44:19.2   33.3   19.2  -72.1 1598190.00       3.20        F	    0.0561	bcg	psxrp
DLS_J0514-4904           4980    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0912     na     na
ESO_3060170              3189    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.0358	na	na
ESO_5520200              3206     04:55:2.06    -18:05:32.2   61.5   53.6    0.0       2.60       0.50        F	    0.0314	none	none
EXO_0422-086             4183    04:25:51.30    -08:33:36.8   18.1   16.4    0.0     133.50       4.20        F	    0.0397	bcg	plus lobe?
EXO_0422-086             4183    04:25:51.33     -08:31:6.3   90.3   61.3    0.0       2.40       0.50        F	    0.0397	none	possible relic
HERCULES_A               1625     16:51:3.85    +04:59:41.9   40.1   15.9   89.8   36611.00    1000.00        F	    0.1541	bcg	plus lobes
HYDRA_A                  4970     09:18:5.78    -12:05:41.3   62.4   19.5   29.3   40849.90    1278.80        F	    0.0549	bcg	plus lobes
LYNX_E                   9271    08:49:11.26     +44:50:9.1   15.7   15.6    0.0     192.80       5.80        F	    1.2600	none	none
MACS_J0011.7-1523        3261    00:11:43.36    -15:23:19.3   51.5   21.8   71.2      31.10       1.50        F   0.3600     na     na
MACS_J0011.7-1523        6105    00:11:43.36    -15:23:19.3   51.5   21.8   71.2      31.10       1.50        F	    0.3600	bcg	possible relic
MACS_J0025.4-1222        3251    00:25:32.01     -12:23:9.1   20.8   23.8   78.6      28.70       1.30        F	    0.5843	bcg	psxrp
MACS_J0025.4-1222        5010    00:25:32.01     -12:23:9.1   20.8   23.8   78.6      28.70       1.30        F	    0.5843	bcg	psxrp
MACS_J0035.4-2015        3262    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3644     na     na
MACS_J0111.5+0855        3256    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.2627     na     na
MACS_J0152.5-2852        3264    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3407     na     na
MACS_J0159.0-3412        5818    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4584     na     na
MACS_J0159.8-0849        3265    01:59:49.38    -08:49:58.5   22.2   19.6    0.0      36.70       1.20        F	    0.4050	bcg	psxrp
MACS_J0159.8-0849        6106    01:59:49.38    -08:49:58.5   22.2   19.6    0.0      36.70       1.20        F	    0.4050	bcg	psxrp
MACS_J0242.5-2132        3266    02:42:35.92    -21:32:25.8   18.2   16.1    0.0    1254.90      37.70        F	    0.3140	bcg	psxrp
MACS_J0257.1-2325        1654    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.5053	na	na
MACS_J0257.1-2325        3581    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.5053	na	na
MACS_J0257.6-2209        3267    02:57:45.76    -22:08:42.0  142.0   54.6    0.0       2.80       0.60        F	    0.3224	relic	diff emi between two ptsrcs
MACS_J0308.9+2645        3268    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3240     na     na
MACS_J0329.6-0211        3257    03:29:41.74    -02:11:52.2   57.9   52.5    0.0       6.90       0.60        F	    0.4500	relic	possibly w/ pt src superposed
MACS_J0329.6-0211        3582    03:29:41.74    -02:11:52.2   57.9   52.5    0.0       6.90       0.60        F	    0.4500	relic	possibly w/ pt src superposed
MACS_J0329.6-0211        6108    03:29:41.74    -02:11:52.2   57.9   52.5    0.0       6.90       0.60        F	    0.4500	relic	possibly w/ pt src superposed
MACS_J0404.6+1109        3269    04:04:32.83     +11:08:2.8   24.7   19.5    0.0      23.40       0.80        F	    0.3548	bcg	psxrp
MACS_J0417.5-1154        3270    04:17:39.70     -11:54:5.9  213.0   59.9    0.0       4.10       0.70        F	    0.4400	relic	pretty obvious
MACS_J0429.6-0253        3271    04:29:36.01     -02:53:6.4   15.8   14.8    0.0     138.80       4.20        F	    0.3990	bcg	psxrp
MACS_J0451.9+0006        5815    04:51:46.57    +00:07:32.8   24.4   14.5   60.9      70.50       2.50        F	    0.4300	none	none
MACS_J0455.2+0657        5812    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4247     na     na
MACS_J0520.7-1328        3272    05:20:42.06    -13:28:47.2   18.3   16.5    0.0      93.00       2.80        F   0.3398     na     na
MACS_J0547.0-3904        3273     05:47:1.51    -39:04:26.2   19.6   15.9    0.0      31.40       1.00        F	    0.2100	bcg	psxrp
MACS_J0547.0-3904        3273    05:47:10.47    -39:04:42.5   81.9   63.9    0.0       2.20       0.50        F	    0.2100	none	possible relic
MACS_J0553.4-3342        5813    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4067     na     na
MACS_J0717.5+3745        1655    07:17:34.07     +37:45:1.3   82.2   69.8  -59.8      90.90       3.70        F	    0.5480	relic	merger w/ diff emi
MACS_J0717.5+3745        4200    07:17:34.07     +37:45:1.3   82.2   69.8  -59.8      90.90       3.70        F	    0.5480	relic	merger w/ diff emi
MACS_J0744.8+3927        3197    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.6860	na	na
MACS_J0744.8+3927        3585    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.6860	na	na
MACS_J0744.8+3927        6111    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.6860	na	na
MACS_J0911.2+1746        3587    09:10:59.34    +17:45:36.8  133.0   51.1    0.0       3.10       0.50        F	    0.5409	relic	diff emi no ctrprt
MACS_J0911.2+1746        5012    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.5409     na     na
MACS_J0949+1708          3274    09:49:49.32    +17:06:49.5   64.0   60.4    0.0       2.10       0.40        F	    0.3820	relic	pretty obvious
MACS_J1006.9+3200        5819    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3587     na     na
MACS_J1105.7-1014        5817    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4664     na     na
MACS_J1108.8+0906        3252    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4493     na     na
MACS_J1108.8+0906        5009    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4493     na     na
MACS_J1115.2+5320        3253    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4390     na     na
MACS_J1115.2+5320        5008    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4390     na     na
MACS_J1115.2+5320        5350    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.4390     na     na
MACS_J1115.8+0129        3275    11:15:51.81    +01:29:55.5   22.8   28.4    7.5      16.20       1.00        F	    0.1200	bcg	psxrp
MACS_J1131.8-1955        3276    11:31:55.02    -19:55:26.6   86.4   50.2   47.8      31.60       2.50        F	    0.3070	relic	diff emi near bcg
MACS_J1149.5+2223        1656    11:49:39.59    +22:24:34.4  115.0   54.8    0.0       2.80       0.50        F	    0.1761	relic	no ctrprt
MACS_J1149.5+2223        3589    11:49:39.59    +22:24:34.4  115.0   54.8    0.0       2.80       0.50        F	    0.1761	relic	no ctrprt
MACS_J1206.2-0847        3277    12:06:12.11     -08:48:2.5   21.0   15.9  -29.1     160.90       6.30        F	    0.4400	bcg	psxrp
MACS_J1226.8+2153        3590    12:26:48.85     +21:50:4.9   19.9   19.6    0.0      23.70       0.80        F	    0.3700	bcg	psxrp
MACS_J1311.0-0310        3258    13:10:50.74    -03:09:40.5   46.5   42.1    0.0       3.90       0.40        F	    0.4940	none	none
MACS_J1311.0-0310        6110    13:10:50.74    -03:09:40.5   46.5   42.1    0.0       3.90       0.40        F	    0.4940	none	none
MACS_J1319+7003          3278    13:20:14.14    +70:05:51.2   39.0   25.6    0.0       8.40       0.50        F	    0.3275	none	none
MACS_J1427.2+4407        6112    14:27:16.14    +44:07:32.1   15.6   15.7   65.5      47.90       1.80        F   0.4771     na     na
MACS_J1427.6-2521        3279    14:27:38.95    -25:20:54.3   51.4   45.6    0.0       3.40       0.50        F	    0.2200	bcg	psxrp
MACS_J1621.3+3810        3254    16:21:24.26    +38:10:14.0   37.5   25.3    0.0       8.80       0.50        F	    0.4610	bcg	psxrp
MACS_J1621.3+3810        3594    16:21:24.26    +38:10:14.0   37.5   25.3    0.0       8.80       0.50        F	    0.4610	bcg	psxrp
MACS_J1621.3+3810        6109    16:21:24.26    +38:10:14.0   37.5   25.3    0.0       8.80       0.50        F	    0.4610	bcg	psxrp
MACS_J1621.3+3810        6172    16:21:24.26    +38:10:14.0   37.5   25.3    0.0       8.80       0.50        F	    0.4610	bcg	psxrp
