#---                                  keV        keV        keV                            ---
#Name                                  Tx         lo         hi                      reference
MS_1455.0+2232                       4.51       0.20       0.20            2001PhDT........88H
MS_2137.3-2353                       4.96       0.11       0.11            2007A&A...462..429B
MS_J1157.3+5531                    -99.00     -99.00     -99.00                             NA
NGC_0507                             1.27       0.02       0.02            2001PhDT........88H
NGC_4636                           -99.00     -99.00     -99.00                             NA
NGC_5044                             1.01       0.01       0.01            2001PhDT........88H
NGC_5813                             0.73       0.02       0.02            2001PhDT........88H
NGC_5846                             0.73       0.02       0.02            2001PhDT........88H
OPHIUCHUS                           11.79       0.30       0.30            2001PhDT........88H
PKS_0745-191                         7.97       0.28       0.28            2005A&A...441..893A 
RBS_0461                           -99.00     -99.00     -99.00                             NA
RBS_0533                           -99.00     -99.00     -99.00                             NA
RBS_0797                             7.70       1.00       1.20            2001A&A...376L..27S
RCS_J2327-0204                     -99.00     -99.00     -99.00                             NA
RXCJ0331.1-2100                    -99.00     -99.00     -99.00                             NA
RXC_J1023.8-2715                     5.60       0.18       0.24            2001A&A...374...28M
RX_J0220.9-3829                    -99.00     -99.00     -99.00                             NA
RX_J0232.2-4420                      7.19       0.38       0.38            2001PhDT........88H
RX_J0439+0520                      -99.00     -99.00     -99.00                             NA
RX_J0439.0+0715                    -99.00     -99.00     -99.00                             NA
RX_J0528.9-3927                    -99.00     -99.00     -99.00                             NA
RX_J0647.7+7015                    -99.00     -99.00     -99.00                             NA
RX_J0819.6+6336                    -99.00     -99.00     -99.00                             NA
RX_J1000.4+4409                    -99.00     -99.00     -99.00                             NA
RX_J1022.1+3830                    -99.00     -99.00     -99.00                             NA
RX_J1130.0+3637                    -99.00     -99.00     -99.00                             NA
RX_J1320.2+3308                      1.22       0.50       0.50            2001PhDT........88H
RX_J1347.5-1145                      9.70       0.70       0.40            2008A&A...491..363O
RX_J1423.8+2404                    -99.00     -99.00     -99.00                             NA
RX_J1504.1-0248                    -99.00     -99.00     -99.00                             NA
RX_J1532.9+3021                      5.44       0.30       0.30            2001PhDT........88H
