#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
MACS_J0242.5-2132          02:42:35.906       -21:32:26.30   0.3140     5.58    10.70    12.16   1.27e+45  -1.00e+00     UK   4.45e+43      F     ?     ?     ?       ?
MACS_J0257.1-2325          02:57:09.130       -23:26:05.85   0.5053     9.25    97.60    96.98   2.17e+45  -1.00e+00     UK   2.75e+41     NF     N     N     N    NONE
MACS_J0257.1-2325          02:57:09.152       -23:26:06.21   0.5053     9.25    97.60    96.98   2.17e+45  -1.00e+00     UK   2.75e+41     NF     N     N     N    NONE
MACS_J0257.6-2209          02:57:41.024       -22:09:11.12   0.3224     8.02   155.11   155.91   1.08e+45  -1.00e+00     UK   9.44e+40     NF     ?     ?     ?       ?
MACS_J0308.9+2645          03:08:55.927       +26:45:38.34   0.3240    10.54   231.95   224.09   2.04e+45  -1.00e+00     UK   9.55e+40     NF     N     Y     N       Y
MACS_J0329.6-0211          03:29:41.681       -02:11:47.67   0.4500     6.30     7.14    11.84   1.28e+45  -1.00e+00     UK   5.74e+41      F     N     N     N    NONE
MACS_J0329.6-0211          03:29:41.688       -02:11:47.81   0.4500     6.30     7.14    11.84   1.28e+45  -1.00e+00     UK   5.74e+41      F     N     N     N    NONE
MACS_J0329.6-0211          03:29:41.681       -02:11:47.57   0.4500     6.30     7.14    11.84   1.28e+45  -1.00e+00     UK   5.74e+41      F     N     N     N    NONE
MACS_J0417.5-1154          04:17:34.686       -11:54:32.71   0.4400    11.07    12.00    34.38   3.80e+45  -1.00e+00     UK   2.35e+42      F     ?     ?     ?       ?
MACS_J0429.6-0253          04:29:36.088       -02:53:09.02   0.3990     5.66    18.27    21.22   1.16e+45  -1.00e+00     UK   8.66e+42      F     ?     ?     ?       ?
MACS_J0520.7-1328          05:20:42.052       -13:28:49.38   0.3398     6.35    89.77    84.35   9.63e+44  -1.00e+00     UK   3.97e+42      F     N     N     N    NONE
MACS_J0547.0-3904          05:47:01.582       -39:04:28.24   0.2100     3.58    15.66    16.38   1.59e+44  -1.00e+00     UK   4.44e+41      F     ?     ?     ?       ?
MACS_J0717.5+3745          07:17:31.654       +37:45:18.52   0.5480    12.77   158.65   220.15   4.66e+45  -1.00e+00     UK   3.35e+41     NF     Y     Y     N       Y
MACS_J0717.5+3745          07:17:31.651       +37:45:18.46   0.5480    12.77   158.65   220.15   4.66e+45  -1.00e+00     UK   3.35e+41     NF     Y     Y     N       Y
MACS_J0744.8+3927          07:44:52.802       +39:27:24.41   0.6860     8.09    37.96    40.75   2.47e+45  -1.00e+00     UK   5.80e+41     NF     N     N     N    NONE
MACS_J0744.8+3927          07:44:52.779       +39:27:24.41   0.6860     8.09    37.96    40.75   2.47e+45  -1.00e+00     UK   5.80e+41     NF     N     N     N    NONE
MACS_J0744.8+3927          07:44:52.800       +39:27:24.81   0.6860     8.09    37.96    40.75   2.47e+45  -1.00e+00     UK   5.80e+41     NF     N     N     N    NONE
MACS_J1115.2+5320          11:15:15.632       +53:20:03.31   0.4390     8.91   298.00   264.00   1.43e+45  -1.00e+00     UK   1.96e+41     NF     N     N     N    NONE
MACS_J1115.2+5320          11:15:15.646       +53:20:03.74   0.4390     8.91   298.00   264.00   1.43e+45  -1.00e+00     UK   1.96e+41     NF     N     N     N    NONE
MACS_J1115.2+5320          11:15:15.632       +53:20:03.37   0.4390     8.91   298.00   264.00   1.43e+45  -1.00e+00     UK   1.96e+41     NF     N     N     N    NONE
MACS_J1115.8+0129          11:15:52.048       +01:29:56.56   0.1200     6.78    14.12    22.72   1.47e+44  -1.00e+00     UK   6.67e+40      F     ?     ?     ?       ?
MACS_J1131.8-1955          11:31:54.580       -19:55:44.54   0.3070     8.64    62.12    97.26   1.75e+45  -1.00e+00     UK   8.42e+40     NF     ?     ?     ?       ?
MACS_J1149.5+2223          11:49:35.856       +22:23:55.02   0.5440     7.65   224.10   205.20   2.16e+45  -1.00e+00     UK   2.38e+40     NF     N     N     N    NONE
MACS_J1149.5+2223          11:49:35.848       +22:23:54.55   0.5440     7.65   224.10   205.20   2.16e+45  -1.00e+00     UK   2.38e+40     NF     N     N     N    NONE
MACS_J1206.2-0847          12:06:12.276       -08:48:02.40   0.4400    10.21    61.02    69.04   3.70e+45  -1.00e+00     UK   1.27e+43      F     N     Y     N       Y
MACS_J1311.0-0310          13:11:01.665       -03:10:39.50   0.4940     5.76    42.46    47.36   1.00e+45  -1.00e+00     UK   2.60e+41     NF     N     N     N    NONE
MACS_J1311.0-0310          13:11:01.680       -03:10:39.75   0.4940     5.76    42.46    47.36   1.00e+45  -1.00e+00     UK   2.60e+41     NF     N     N     N    NONE
MACS_J1621.3+3810          16:21:25.552       +38:09:43.56   0.4610     7.12    22.16    29.44   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1621.3+3810          16:21:25.558       +38:09:43.44   0.4610     7.12    22.16    29.44   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1621.3+3810          16:21:25.535       +38:09:43.34   0.4610     7.12    22.16    29.44   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1621.3+3810          16:21:25.559       +38:09:43.63   0.4610     7.12    22.16    29.44   1.15e+45  -1.00e+00     UK   7.75e+41      F     N     N     N    NONE
MACS_J1931.8-2634          19:31:49.656       -26:34:33.99   0.3520     6.97    11.59    16.49   2.31e+45  -1.00e+00     UK   1.16e+41     NF     ?     ?     ?       ?
MACS_J2049.9-3217          20:49:56.245       -32:16:52.30   0.3254     6.83   200.46   165.95   8.71e+44  -1.00e+00     UK   9.64e+40     NF     N     N     N    NONE
MACS_J2211.7-0349          22:11:45.856       -03:49:37.24   0.2700    11.30   164.79   147.18   2.21e+45  -1.00e+00     UK   6.26e+40     NF     N     Y     N       Y
MACS_J2214.9-1359          22:14:57.467       -14:00:09.35   0.5026     9.78   112.77   140.95   2.41e+45  -1.00e+00     UK   2.71e+41     NF     N     N     N    NONE
MACS_J2214.9-1359          22:14:57.481       -14:00:09.69   0.5026     9.78   112.77   140.95   2.41e+45  -1.00e+00     UK   2.71e+41     NF     N     N     N    NONE
MACS_J2228+2036            22:28:33.872       +20:37:18.31   0.4120     7.86   146.73   138.13   1.79e+45  -1.00e+00     UK   1.68e+41     NF     ?     ?     ?       ?
MACS_J2229.7-2755          22:29:45.358       -27:55:38.41   0.3240     5.01    15.53    18.03   9.49e+44  -1.00e+00     UK   2.79e+41      F     ?     ?     ?       ?
MACS_J2245.0+2637          22:45:04.657       +26:38:03.46   0.3040     6.06    39.04    42.03   9.36e+44  -1.00e+00     UK   1.91e+41      F     ?     ?     ?       ?
MKW3S                      15:21:51.930       +07:42:31.97   0.0450     3.91    21.22    24.39   1.14e+44   1.69e+40      F   5.88e+39      F     N     N     Y       Y
MKW_04                     12:04:27.218       +01:53:42.79   0.0198     2.16     5.92     6.86   4.57e+43  -1.00e+00     UK   2.42e+38     NF     Y     Y     N       Y
MS_0016.9+1609             00:18:33.503       +16:26:12.99   0.5410     8.94   160.70   162.07   3.29e+45  -1.00e+00     UK   3.24e+41     NF     Y     Y     N       Y
MS_0116.3-0115             01:18:53.944       -01:00:07.54   0.0452     1.84    17.23    12.77  -1.00e+00  -1.00e+00     UK   1.67e+39      F     ?     ?     ?       ?
MS_0735.6+7421             07:41:44.245       +74:14:38.23   0.2160     5.55    13.77    15.96   7.57e+44  -1.00e+00     UK   3.18e+41      F     Y     N     Y       Y
MS_0839.8+2938             08:42:55.969       +29:27:26.97   0.1940     4.68    15.53    19.19   3.10e+44  -1.00e+00     UK   2.92e+41      F     N     Y     N       Y
MS_0906.5+1110             09:09:12.753       +10:58:32.00   0.1630     5.38   111.22   108.32   4.64e+44  -1.00e+00     UK   2.01e+40     NF     N     Y     N       Y
MS_1006.0+1202             10:08:47.462       +11:47:36.31   0.2210     5.61   175.76   160.28   4.75e+44  -1.00e+00     UK   7.14e+40      F     N     N     N    NONE
MS_1008.1-1224             10:10:32.312       -12:39:56.80   0.3010     5.65    30.14    29.06   6.44e+44  -1.00e+00     UK   8.04e+40     NF     N     N     N    NONE
MS_1455.0+2232             14:57:15.088       +22:20:32.49   0.2590     4.77    16.88    16.88   1.03e+45  -1.00e+00     UK   3.75e+41      F     Y     Y     N       Y
MS_2137.3-2353             21:40:15.178       -23:39:40.71   0.3130     6.01    12.58    15.13   1.13e+45  -1.00e+00     UK   1.34e+41      F     Y     Y     Y       Y
MS_J1157.3+5531            11:59:52.295       +55:32:05.61   0.0810     3.28     3.73     5.54   1.20e+43  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
OPHIUCHUS                  17:12:27.731       -23:22:06.74   0.0280    10.00     5.37    16.98   4.57e+45  -1.00e+00     UK   5.66e+39      F     N     N     N    NONE
PKS_0745-191               07:47:31.436       -19:17:39.78   0.1028     8.50    11.91    12.41   8.51e+45   2.80e+41      F   7.00e+42      F     Y     Y     Y       Y
PKS_0745-191               07:47:31.453       -19:17:39.96   0.1028     8.50    11.91    12.41   8.51e+45   2.80e+41      F   7.00e+42      F     Y     Y     Y       Y
PKS_0745-191               07:47:31.469       -19:17:40.01   0.1028     8.13    11.91    12.41   1.84e+45   2.80e+41      F   7.00e+42      F     Y     Y     Y       Y
RBS_0461                   03:41:17.490       +15:23:54.66   0.0290     2.60    99.91    93.47  -1.00e+00   8.81e+38     NF   3.08e+39      F     N     Y     N       Y
RBS_0533                   04:19:38.105       +02:24:35.54   0.0123     1.29     2.28     2.56  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0533                   04:19:38.135       +02:24:36.02   0.0123     1.29     2.28     2.56  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0533                   04:19:38.130       +02:24:35.73   0.0123     1.29     2.28     2.56  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0533                   04:19:38.111       +02:24:35.62   0.0123     1.29     2.28     2.56  -1.00e+00   1.56e+38     NF   6.14e+38      F     N     N     N    NONE
RBS_0797                   09:47:12.971       +76:23:13.90   0.3540     7.68    27.65    27.74   2.61e+45  -1.00e+00     UK   1.02e+42      F     ?     ?     ?       ?
RX_J0232.2-4420            02:32:18.771       -44:20:46.68   0.2836     7.83    17.13    30.40   1.82e+45  -1.00e+00     UK   5.79e+41      F     N     Y     N       Y
RX_J0439.0+0715            04:39:00.710       +07:16:07.65   0.2300     5.63    37.31    52.39   9.44e+44   6.65e+40     NF   4.34e+40     NF     N     N     N    NONE
RX_J0439.0+0715            04:39:00.710       +07:16:07.33   0.2300     5.63    37.31    52.39   9.44e+44   6.65e+40     NF   4.34e+40     NF     N     N     N    NONE
RX_J0528.9-3927            05:28:53.039       -39:28:15.53   0.2632     7.89    69.92    72.85   1.30e+45  -1.00e+00     UK   1.11e+41      F     N     Y     N       Y
RX_J0647.7+7015            06:47:50.029       +70:14:49.66   0.5840    11.28   197.36   181.61   2.65e+45  -1.00e+00     UK   3.91e+41     NF     N     N     N    NONE
RX_J0647.7+7015            06:47:50.114       +70:14:49.99   0.5840    11.28   197.36   181.61   2.65e+45  -1.00e+00     UK   3.91e+41     NF     N     N     N    NONE
RX_J1000.4+4409            10:00:32.024       +44:08:39.69   0.1540     3.42    29.91    35.77  -1.00e+00   1.30e+40      F   1.41e+40     NF     ?     ?     ?       ?
RX_J1022.1+3830            10:22:10.034       +38:31:23.54   0.0491     3.04    47.91    55.44  -1.00e+00  -1.00e+00     UK   1.24e+39     NF     ?     ?     ?       ?
RX_J1130.0+3637            11:30:02.789       +36:38:08.26   0.0600     2.02    23.36    29.93  -1.00e+00  -1.00e+00     UK   1.88e+39     NF     ?     ?     ?       ?
RX_J1320.2+3308            13:20:14.650       +33:08:33.06   0.0366     1.01     7.88     9.33  -1.00e+00   2.12e+39      F   2.24e+40      F     ?     ?     ?       ?
RX_J1347.5-1145            13:47:30.593       -11:45:10.05   0.4510    14.62    24.70    24.70   1.00e+46  -1.00e+00     UK   3.84e+42      F     Y     Y     N       Y
RX_J1347.5-1145            13:47:30.598       -11:45:10.27   0.4510    14.62    24.70    24.70   1.00e+46  -1.00e+00     UK   3.84e+42      F     Y     Y     N       Y
RX_J1504.1-0248            15:04:07.415       -02:48:15.70   0.2150     8.00    13.08    13.08   3.46e+45  -1.00e+00     UK   9.02e+41      F     N     Y     N       Y
RX_J1532.9+3021            15:32:53.781       +30:20:58.72   0.3450     6.03    14.30    16.93   2.08e+45   4.73e+42      F   1.01e+42      F     Y     Y     N       Y
RX_J1532.9+3021            15:32:53.817       +30:20:58.34   0.3450     6.03    14.30    16.93   2.08e+45   4.73e+42      F   1.01e+42      F     Y     Y     N       Y
RX_J1720.1+2638            17:20:09.941       +26:37:29.11   0.1640     6.37    20.69    21.03   1.14e+45   7.60e+40      F   7.14e+41      F     Y     Y     N       Y
RX_J1720.2+3536            17:20:16.953       +35:36:23.63   0.3913     7.21    17.52    24.00   1.30e+45  -1.00e+00     UK   1.07e+42      F     N     N     N    NONE
RX_J1720.2+3536            17:20:16.949       +35:36:23.48   0.3913     7.21    17.52    24.00   1.30e+45  -1.00e+00     UK   1.07e+42      F     N     N     N    NONE
RX_J1720.2+3536            17:20:16.947       +35:36:23.29   0.3913     7.21    17.52    24.00   1.30e+45  -1.00e+00     UK   1.07e+42      F     N     N     N    NONE
RX_J1852.1+5711            18:52:08.815       +57:11:42.63   0.1094     3.44    20.79    30.51  -1.00e+00  -1.00e+00     UK   1.36e+41      F     ?     ?     ?       ?
RX_J2129.6+0005            21:29:39.944       +00:05:18.83   0.2350     5.91    23.49    27.19   1.26e+45  -1.00e+00     UK   4.63e+41      F     ?     ?     ?       ?
SC_1327-312                13:29:47.748       -31:36:23.54   0.0531     3.53    65.52    64.57   3.16e+44  -1.00e+00     UK   1.45e+39     NF     N     N     N    NONE
SDSS_J198.070267-00.984433 13:12:13.635       -00:58:27.64   0.0848     2.91    -1.00    -1.00   3.31e+43  -1.00e+00     UK  -1.00e+00     NF     N     N     N    NONE
SERSIC_159-03              23:13:58.764       -42:43:34.70   0.0580     2.65     7.54    10.45  -1.00e+00   3.54e+40      F   1.72e+41      F     Y     Y     Y       Y
SS2B153                    10:50:26.125       -12:50:41.76   0.0186     0.80     1.86     1.86  -1.00e+00  -1.00e+00     UK   2.16e+39      F     N     N     N    NONE
UGC_03957                  07:40:58.335       +55:25:38.30   0.0341     2.96    11.02    12.88  -1.00e+00  -1.00e+00     UK   1.23e+40      F     ?     ?     ?       ?
ZWCL_1215                  12:17:41.708       +03:39:15.81   0.0750     6.62   149.42   148.12   3.49e+44  -1.00e+00     UK   3.78e+39     NF     N     N     N    NONE
ZWCL_1742                  17:44:14.515       +32:59:29.68   0.0757     4.40    13.54    25.46  -1.00e+00  -1.00e+00     UK   1.11e+41      F     ?     ?     ?       ?
ZWCL_1953                  08:50:06.677       +36:04:16.16   0.3800     7.37   240.55   217.98   1.71e+45  -1.00e+00     UK   1.08e+42      F     ?     ?     ?       ?
ZWCL_3146                  10:23:39.735       +04:11:08.05   0.2900     7.48    11.42    11.42   2.96e+45   5.82e+42      F   2.10e+41      F     Y     Y     Y       Y
ZWCL_7160                  14:57:15.158       +22:20:33.85   0.2578     4.53    18.83    21.09   1.01e+45   3.24e+41      F   3.71e+41      F     ?     ?     ?       ?
ZWICKY_2701                09:52:49.183       +51:53:05.27   0.2100     5.21    28.37    32.57   5.19e+44   5.41e+40      F   2.05e+41      F     Y     Y     N       Y
ZwCl_0857.9+2107           09:00:36.835       +20:53:40.36   0.2350    12.10    18.40    18.92  -1.00e+00  -1.00e+00     UK   1.30e+41      F     ?     ?     ?       ?
